arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
qwen3_8b	capacity	raw	1	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	105.4148	104.1793	113.9727	116.0094	16.8647	16.8654	16.9578	17.0578	2247.2278	2245.6893	2261.3305	2276.0738	0.4051	51.8529	4837.0000	93.5600	88.2074	77.0000	11027.2450	183.7874	1.4358
qwen3_8b	capacity	raw	2	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	163.7574	163.6012	182.1713	189.3776	18.0999	18.1067	18.2196	18.2384	2462.4428	2463.4900	2483.7927	2488.8124	0.7517	96.2121	4841.0000	89.8100	83.7778	78.0000	6296.7300	104.9455	0.8199
qwen3_8b	capacity	raw	4	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	2536.6166	2612.5887	2658.2820	2664.0969	18.1845	18.2116	18.3116	18.3433	4846.0466	4921.4138	4974.2091	4989.7635	0.7518	96.2286	4841.0000	85.2300	84.6588	78.0000	6211.3850	103.5231	0.8088
qwen3_8b	capacity	raw	6	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	4854.3598	5104.4046	5132.9933	5134.1618	18.2360	18.2273	18.3855	18.4220	7170.3269	7419.3400	7463.5107	7472.7390	0.7495	95.9410	4841.0000	85.4900	83.8889	78.0000	6303.9600	105.0660	0.8208
qwen3_8b	capacity	raw	8	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	7105.8032	7587.7827	7699.3783	7709.6624	18.3033	18.3040	18.5740	18.6388	9430.3226	9913.2254	10008.9189	10039.7604	0.7472	95.6394	4841.0000	83.9500	83.2164	78.0000	6314.5650	105.2427	0.8222
deepseek_r1_8b	capacity	raw	1	1	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	92.7094	91.8124	99.0611	108.0316	16.3525	16.3410	16.4319	16.6323	2169.4756	2168.5385	2181.8844	2211.2947	0.4223	54.0535	4721.0000	88.5900	88.3750	79.0000	10848.2350	180.8039	1.4125
deepseek_r1_8b	capacity	raw	2	1	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	140.6421	140.6049	156.7805	158.2133	17.5044	17.4973	17.6067	17.6975	2363.7037	2359.7593	2380.1324	2388.1974	0.7669	98.1665	4725.0000	100.2400	83.6871	77.0000	6019.7000	100.3283	0.7838
deepseek_r1_8b	capacity	raw	4	1	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	2455.8400	2525.9852	2595.4551	2600.8000	17.6861	17.6134	18.0025	18.0540	4701.9809	4747.6882	4869.9419	4876.8486	0.7730	98.9461	4725.0000	81.8300	83.7470	78.0000	5957.4650	99.2911	0.7757
deepseek_r1_8b	capacity	raw	6	1	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	4668.3317	4906.5664	4951.5999	4955.6936	17.6413	17.6281	17.8292	17.8874	6908.7756	7150.0799	7200.4262	7207.4922	0.7759	99.3174	4725.0000	89.8100	83.4303	78.0000	6070.9850	101.1831	0.7905
deepseek_r1_8b	capacity	raw	8	1	PASS	0.0000	60	60	0	100.0000	33.0500	128.0000	6828.5769	7302.5329	7339.2966	7339.9409	17.6769	17.6736	17.7991	17.8314	9073.5460	9554.5094	9585.4733	9594.8171	0.7743	99.1105	4725.0000	85.6900	83.7636	78.0000	6099.3800	101.6563	0.7942
