suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
capacity	deepseek_r1_8b	raw	1	3	0	0	3	0.0000	0.0000	91.2586	1.4817	99.7692	5.7890	16.2958	0.1098	16.3925	0.1150	2162.5537	16.0577	2179.7686	14.0458	0.4233	0.0027	54.1862	0.3604	4721.0000	0.0000	86.9067	4.0786
capacity	deepseek_r1_8b	raw	2	3	0	0	3	0.0000	0.0000	141.5025	2.8832	157.6493	1.9262	17.4740	0.1175	17.5787	0.1976	2359.3631	7.2253	2380.3693	23.7816	0.7769	0.0218	99.4451	2.7904	4725.0000	0.0000	93.7633	24.3442
capacity	deepseek_r1_8b	raw	4	3	0	0	3	0.0000	0.0000	2509.5174	35.5143	2546.4312	105.8840	17.5580	0.1193	17.7324	0.5853	4733.1288	31.3913	4790.2312	171.5345	0.7785	0.0119	99.6529	1.5248	4725.0000	0.0000	96.1233	33.8871
capacity	deepseek_r1_8b	raw	6	3	0	0	3	0.0000	0.0000	4906.0495	32.7335	4957.0485	11.9167	17.6442	0.1211	17.8238	0.0778	7147.4645	49.7201	7210.6563	28.5593	0.7662	0.0441	98.0758	5.6523	4725.0000	0.0000	87.8600	13.8311
capacity	deepseek_r1_8b	raw	8	3	0	0	3	0.0000	0.0000	7293.5337	37.0913	7335.1741	54.4426	17.6698	0.0964	17.7866	0.2020	9539.3959	56.0237	9584.1505	68.1051	0.7656	0.0428	97.9989	5.4804	4725.0000	0.0000	84.9833	3.4131
capacity	glm4_9b	raw	1	3	0	0	3	0.0000	0.0000	54.6324	0.7445	59.8876	6.3192	20.0357	0.0949	20.1608	0.1314	2599.1228	12.3112	2617.5573	20.3907	0.3552	0.0103	45.4655	1.3214	5095.0000	0.0000	85.2133	4.3103
capacity	glm4_9b	raw	2	3	0	0	3	0.0000	0.0000	102.5210	3.5355	113.6889	7.3089	21.0725	0.1234	21.2718	0.2078	2778.7013	18.6920	2809.1115	25.8320	0.6505	0.0034	83.2654	0.4403	5099.0000	0.0000	88.6800	7.9023
capacity	glm4_9b	raw	4	3	0	0	3	0.0000	0.0000	2880.2936	26.9506	2915.5166	42.0356	21.1403	0.1617	21.3854	0.2051	5562.0567	49.7925	5623.1397	57.9885	0.6640	0.0346	84.9931	4.4294	5099.0000	0.0000	92.4933	17.3557
capacity	glm4_9b	raw	6	3	0	0	3	0.0000	0.0000	5675.8769	29.1582	5716.9580	4.4524	21.2039	0.0504	21.3844	0.0268	8370.7490	34.9740	8414.7702	4.3424	0.6481	0.0015	82.9628	0.1898	5099.0000	0.0000	91.4033	37.5940
capacity	glm4_9b	raw	8	3	0	0	3	0.0000	0.0000	8501.7846	52.9498	8550.8663	68.8867	21.2662	0.1328	21.4811	0.2824	11203.8620	72.3589	11259.1408	105.0879	0.6674	0.0037	85.4282	0.4742	5099.0000	0.0000	98.0633	25.8006
capacity	qwen3_8b	raw	1	3	0	0	3	0.0000	0.0000	104.1013	5.5296	116.4601	14.5134	16.8305	0.1026	16.9396	0.0811	2241.4523	16.0759	2259.7190	27.4024	0.4083	0.0071	52.2600	0.9167	4837.0000	0.0000	94.8033	26.4819
