arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
qwen3_8b	shape_short_chat	128	1	1	PASS	0.0000	60	60	0	100.0000	136.0000	128.0000	172.0111	171.1492	186.4112	187.9457	16.9683	16.9650	17.0717	17.1161	2326.9802	2326.1900	2343.2195	2357.1923	0.3954	50.6128	4839.0000	119.7000	85.8254	81.0000	11885.1250	198.0854	1.5475
qwen3_8b	shape_short_chat	128	4	1	PASS	0.0000	60	60	0	100.0000	136.0000	128.0000	2746.5820	2830.0772	2856.0612	2859.3321	18.3163	18.3282	18.5064	18.5262	5072.7565	5159.7429	5187.4896	5189.7088	0.7205	92.2192	4841.0000	89.1100	80.5297	80.0000	6692.0700	111.5345	0.8714
deepseek_r1_8b	shape_short_chat	128	1	1	PASS	0.0000	60	60	0	100.0000	131.0000	128.0000	156.6378	155.2671	166.7958	171.6872	16.3516	16.3449	16.4505	16.4733	2233.2925	2232.1124	2249.0656	2254.4686	0.4029	51.5775	4723.0000	88.0300	84.1677	80.0000	11236.5500	187.2758	1.4631
deepseek_r1_8b	shape_short_chat	128	4	1	PASS	0.0000	60	60	0	100.0000	131.0000	128.0000	2632.8586	2716.8659	2740.6156	2744.1143	17.6034	17.5803	17.7482	17.7620	4868.4942	4950.2389	4981.6744	4985.5242	0.7485	95.8127	4725.0000	121.1500	80.0281	79.0000	6321.5800	105.3597	0.8231
glm4_9b	shape_short_chat	128	1	1	PASS	0.0000	60	60	0	100.0000	133.0000	128.0000	121.0020	120.7660	128.0609	131.8707	20.1172	20.1183	20.2359	20.2685	2675.8863	2676.9972	2692.6327	2695.6457	0.3420	43.7745	5097.0000	85.4500	85.6038	81.0000	13524.3200	225.4053	1.7610
glm4_9b	shape_short_chat	128	4	1	PASS	0.0000	60	60	0	100.0000	133.0000	128.0000	2996.9317	3093.1421	3121.6720	3123.8708	21.2897	21.2855	21.4444	21.5062	5700.7233	5793.6162	5827.5713	5841.2244	0.6264	80.1761	5099.0000	100.3400	82.5171	80.0000	7441.3700	124.0228	0.9689
yi_15_9b	shape_short_chat	128	1	1	PASS	0.0000	60	60	0	100.0000	148.1333	128.0000	131.4828	131.0528	137.3305	142.0753	18.7723	18.7667	18.9572	18.9846	2515.5699	2513.4177	2542.4927	2544.4801	0.3620	46.3319	5041.0000	119.1400	86.2168	80.0000	12723.7200	212.0620	1.6567
yi_15_9b	shape_short_chat	128	4	1	PASS	0.0000	60	60	0	100.0000	148.1333	128.0000	2963.8222	3051.1888	3097.5419	3102.3312	20.2288	20.2397	20.3937	20.4938	5532.8751	5622.5761	5665.7539	5686.6429	0.6644	85.0406	5043.0000	92.0700	84.1111	80.0000	7235.8000	120.5967	0.9422
qwen3_8b	shape_balanced	256	1	1	PASS	0.0000	60	60	0	100.0000	264.0000	256.0000	257.2674	256.2062	267.8313	302.1652	17.1640	17.1642	17.2462	17.3140	4634.0861	4636.2717	4655.6116	4688.1840	0.1987	50.8761	4841.0000	95.4600	89.5510	81.0000	23161.6550	386.0276	1.5079
qwen3_8b	shape_balanced	256	4	1	PASS	0.0000	60	60	0	100.0000	264.0000	256.0000	5443.6794	5606.5650	5674.7794	5678.7915	18.6607	18.6467	18.7785	18.8518	10202.1542	10375.3693	10466.6376	10478.2316	0.3584	91.7437	4847.0000	85.0500	85.2330	79.0000	13067.1050	217.7851	0.8507
