suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
openloop	deepseek_r1_8b	0.50	8	1	0	0	1	0.0000	0.0000	139.9866	0.0000	1905.1465	0.0000	19.3959	0.0000	19.9994	0.0000	2656.4710	0.0000	4407.9206	0.0000	0.3983	0.0000	50.9853	0.0000	4723.0000	0.0000	83.9700	0.0000
openloop	deepseek_r1_8b	0.75	8	1	0	0	1	0.0000	0.0000	1101.7877	0.0000	3831.5262	0.0000	19.8624	0.0000	20.1184	0.0000	3546.3246	0.0000	6208.3970	0.0000	0.5707	0.0000	73.0497	0.0000	4721.0000	0.0000	80.3700	0.0000
openloop	deepseek_r1_8b	0.90	8	1	0	0	1	0.0000	0.0000	2799.3388	0.0000	5919.7072	0.0000	20.0273	0.0000	20.1988	0.0000	5313.9055	0.0000	8470.8689	0.0000	0.6861	0.0000	87.8151	0.0000	4721.0000	0.0000	85.5800	0.0000
openloop	deepseek_r1_8b	1.00	8	1	0	0	1	0.0000	0.0000	4507.7884	0.0000	7887.4486	0.0000	20.0723	0.0000	20.2515	0.0000	7066.6686	0.0000	10440.6570	0.0000	0.7207	0.0000	92.2533	0.0000	4721.0000	0.0000	80.5100	0.0000
openloop	deepseek_r1_8b	1.10	8	1	0	0	1	0.0000	0.0000	5868.9732	0.0000	8026.6434	0.0000	20.0975	0.0000	20.3229	0.0000	8429.1263	0.0000	10599.3110	0.0000	0.7346	0.0000	94.0234	0.0000	4721.0000	0.0000	82.1500	0.0000
openloop	glm4_9b	0.50	8	1	0	0	1	0.0000	0.0000	199.3544	0.0000	2227.5795	0.0000	23.9464	0.0000	24.2496	0.0000	3208.9250	0.0000	5266.2057	0.0000	0.3305	0.0000	42.3088	0.0000	5095.0000	0.0000	82.9000	0.0000
openloop	glm4_9b	0.75	8	1	0	0	1	0.0000	0.0000	1473.3183	0.0000	4821.3764	0.0000	23.9327	0.0000	24.1306	0.0000	4492.3804	0.0000	7692.0013	0.0000	0.4989	0.0000	63.8601	0.0000	5095.0000	0.0000	80.3500	0.0000
openloop	glm4_9b	0.90	8	1	0	0	1	0.0000	0.0000	3670.9083	0.0000	7272.9999	0.0000	24.1388	0.0000	24.4345	0.0000	6731.8997	0.0000	10339.6664	0.0000	0.5803	0.0000	74.2817	0.0000	5095.0000	0.0000	81.4200	0.0000
openloop	glm4_9b	1.00	8	1	0	0	1	0.0000	0.0000	4770.7249	0.0000	8671.0040	0.0000	24.1416	0.0000	24.3344	0.0000	7847.4041	0.0000	11728.6281	0.0000	0.6070	0.0000	77.6926	0.0000	5095.0000	0.0000	80.5200	0.0000
openloop	glm4_9b	1.10	8	1	0	0	1	0.0000	0.0000	6141.0555	0.0000	8990.7183	0.0000	24.1547	0.0000	24.3086	0.0000	9201.4650	0.0000	12065.5142	0.0000	0.6266	0.0000	80.2024	0.0000	5095.0000	0.0000	80.8500	0.0000
openloop	qwen3_8b	0.50	8	1	0	0	1	0.0000	0.0000	202.3025	0.0000	2013.0485	0.0000	20.1385	0.0000	20.7585	0.0000	2776.1302	0.0000	4641.8774	0.0000	0.3871	0.0000	49.5470	0.0000	4841.0000	0.0000	84.8500	0.0000
openloop	qwen3_8b	0.75	8	1	0	0	1	0.0000	0.0000	1215.3292	0.0000	4115.1322	0.0000	20.6300	0.0000	20.8900	0.0000	3818.6113	0.0000	6573.7108	0.0000	0.5620	0.0000	71.9363	0.0000	4837.0000	0.0000	83.1400	0.0000
openloop	qwen3_8b	0.90	8	1	0	0	1	0.0000	0.0000	2989.5880	0.0000	6091.7919	0.0000	20.7335	0.0000	21.0292	0.0000	5599.6449	0.0000	8742.1684	0.0000	0.6599	0.0000	84.4645	0.0000	4837.0000	0.0000	81.3300	0.0000
