arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
qwen3_8b	openloop	0.50	8	1	PASS	0.0000	47	47	0	100.0000	40.5745	128.0000	592.3853	202.3025	2013.0485	2447.6152	20.0652	20.1385	20.7585	20.9191	3140.6618	2776.1302	4641.8774	5009.7914	0.3871	49.5470	4841.0000	84.8500	57.9851	72.0000	7680.3600	163.4119	1.2767
qwen3_8b	openloop	0.75	8	1	PASS	0.0000	67	67	0	100.0000	40.5373	128.0000	1421.4056	1215.3292	4115.1322	4881.2965	20.3970	20.6300	20.8900	21.0372	4011.8282	3818.6113	6573.7108	7523.1873	0.5620	71.9363	4837.0000	83.1400	73.8084	75.0000	8996.9300	134.2825	1.0491
qwen3_8b	openloop	0.90	8	1	PASS	0.0000	80	80	0	100.0000	40.4500	128.0000	2968.9848	2989.5880	6091.7919	7641.8768	20.6685	20.7335	21.0292	21.0758	5593.8849	5599.6449	8742.1684	10287.5388	0.6599	84.4645	4837.0000	81.3300	79.7057	77.0000	9643.6700	120.5459	0.9418
qwen3_8b	openloop	1.00	8	1	PASS	0.0000	87	87	0	100.0000	40.5172	128.0000	4201.1648	4302.5809	7661.0900	8127.9675	20.7619	20.8438	21.0284	21.1031	6837.9258	6950.7102	10326.3053	10763.2361	0.6884	88.1100	4837.0000	81.1000	81.7709	78.0000	10258.6850	117.9159	0.9212
qwen3_8b	openloop	1.10	8	1	PASS	0.0000	90	90	0	100.0000	40.3222	128.0000	5014.0765	5647.5530	8074.9698	8421.5494	20.7781	20.8476	21.0234	21.0896	7652.8940	8315.9413	10726.5782	11102.3286	0.7101	90.8970	4837.0000	81.4300	83.3538	78.0000	10457.2750	116.1919	0.9077
deepseek_r1_8b	openloop	0.50	8	1	PASS	0.0000	47	47	0	100.0000	33.1489	128.0000	533.3281	139.9866	1905.1465	2296.6295	19.3514	19.3959	19.9994	20.0676	2990.9526	2656.4710	4407.9206	4735.0193	0.3983	50.9853	4723.0000	83.9700	57.0231	74.0000	7309.8300	155.5283	1.2151
deepseek_r1_8b	openloop	0.75	8	1	PASS	0.0000	67	67	0	100.0000	33.1194	128.0000	1320.9121	1101.7877	3831.5262	4629.8814	19.6436	19.8624	20.1184	20.1926	3815.6468	3546.3246	6208.3970	7167.0235	0.5707	73.0497	4721.0000	80.3700	72.1829	75.0000	8730.0300	130.2990	1.0180
deepseek_r1_8b	openloop	0.90	8	1	PASS	0.0000	84	84	0	100.0000	33.0357	128.0000	2783.0071	2799.3388	5919.7072	7417.5224	19.9452	20.0273	20.1988	20.3303	5316.0428	5313.9055	8470.8689	9974.6912	0.6861	87.8151	4721.0000	85.5800	79.3158	77.0000	9713.3950	115.6357	0.9034
deepseek_r1_8b	openloop	1.00	8	1	PASS	0.0000	90	90	0	100.0000	32.9222	128.0000	4330.9969	4507.7884	7887.4486	8133.8135	20.0268	20.0723	20.2515	20.3432	6874.4013	7066.6686	10440.6570	10679.2561	0.7207	92.2533	4721.0000	80.5100	82.7090	78.0000	10035.8750	111.5097	0.8712
deepseek_r1_8b	openloop	1.10	8	1	PASS	0.0000	93	93	0	100.0000	32.8387	128.0000	5137.3975	5868.9732	8026.6434	8112.0253	20.0397	20.0975	20.3229	20.4433	7682.4351	8429.1263	10599.3110	10662.6223	0.7346	94.0234	4721.0000	82.1500	84.1172	78.0000	10364.4650	111.4459	0.8707
glm4_9b	openloop	0.50	8	1	PASS	0.0000	39	39	0	100.0000	35.9231	128.0000	623.2286	199.3544	2227.5795	2693.7915	23.6544	23.9464	24.2496	24.3032	3627.3396	3208.9250	5266.2057	5708.8228	0.3305	42.3088	5095.0000	82.9000	56.8213	74.0000	7287.0250	186.8468	1.4597
glm4_9b	openloop	0.75	8	1	PASS	0.0000	60	60	0	100.0000	36.0167	128.0000	1665.3118	1473.3183	4821.3764	5594.8573	23.7567	23.9327	24.1306	24.1786	4682.4156	4492.3804	7692.0013	8635.3669	0.4989	63.8601	5095.0000	80.3500	74.5038	75.0000	9029.3400	150.4890	1.1757
glm4_9b	openloop	0.90	8	1	PASS	0.0000	71	71	0	100.0000	35.7465	128.0000	3609.1114	3670.9083	7272.9999	8858.1001	24.0989	24.1388	24.4345	24.5082	6669.6673	6731.8997	10339.6664	11945.8230	0.5803	74.2817	5095.0000	81.4200	79.3148	77.0000	9788.4000	137.8648	1.0771
glm4_9b	openloop	1.00	8	1	PASS	0.0000	74	74	0	100.0000	35.6757	128.0000	4604.8869	4770.7249	8671.0040	9383.3876	24.0870	24.1416	24.3344	24.4699	7663.9379	7847.4041	11728.6281	12461.4358	0.6070	77.6926	5095.0000	80.5200	82.8801	78.0000	9956.4850	134.5471	1.0511
glm4_9b	openloop	1.10	8	1	PASS	0.0000	80	80	0	100.0000	36.0250	128.0000	5404.9417	6141.0555	8990.7183	9154.4783	24.1137	24.1547	24.3086	24.4389	8467.3787	9201.4650	12065.5142	12228.3736	0.6266	80.2024	5095.0000	80.8500	84.8551	79.0000	10463.8050	130.7976	1.0219
yi_15_9b	openloop	0.50	8	1	PASS	0.0000	41	41	0	100.0000	56.8293	128.0000	592.3888	131.0377	2165.5357	2649.1459	22.3177	22.6498	23.1293	23.1551	3426.7382	3040.0061	5105.0886	5503.0824	0.3441	44.0434	5041.0000	80.4700	56.7828	74.0000	7505.2700	183.0554	1.4301
yi_15_9b	openloop	0.75	8	1	PASS	0.0000	63	63	0	100.0000	56.6825	128.0000	1577.3435	1377.2602	4687.8266	5399.5657	22.6337	22.8408	23.0830	23.1431	4451.8273	4197.4018	7409.3506	8308.2057	0.5222	66.8380	5041.0000	80.5200	76.2197	76.0000	9104.3500	144.5135	1.1290
yi_15_9b	openloop	0.90	8	1	PASS	0.0000	75	75	0	100.0000	56.2933	128.0000	3434.0758	3494.8468	6907.9024	8478.2643	22.8975	22.9580	23.2499	23.3888	6342.0594	6401.3375	9859.3886	11399.9175	0.6102	78.1019	5041.0000	80.3700	80.7667	77.0000	9820.6700	130.9423	1.0230
