arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	capacity	raw	1	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	114.1491	110.4710	138.3526	150.5275	14.2343	14.2273	14.3379	14.3912	1921.9011	1918.4577	1946.5842	1959.2740	0.5196	66.5145	2845.0000	85.0800	73.4650	74.0000	8577.0300	142.9505	1.1168
spark_llama	capacity	raw	2	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	186.0592	182.5219	210.4310	219.2756	16.4975	16.4941	16.6719	16.6849	2281.2469	2278.5314	2310.3499	2311.6234	0.8758	112.0991	2847.0000	96.8200	64.6242	76.0000	5134.4450	85.5741	0.6685
spark_llama	capacity	raw	4	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	2383.8398	2459.8961	2498.6692	2508.2550	16.5152	16.5123	16.7553	16.8388	4481.2752	4554.5956	4610.5594	4616.3445	0.8772	112.2841	2847.0000	102.8400	64.9800	76.0000	5374.8300	89.5805	0.6998
spark_llama	capacity	raw	6	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	4498.7083	4721.2464	4770.5635	4773.4320	16.5520	16.5710	16.7366	16.7455	6600.8078	6827.0429	6881.1001	6887.0433	0.8788	112.4921	2847.0000	96.2900	64.3826	77.0000	5296.6600	88.2777	0.6897
spark_llama	capacity	raw	8	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	6622.1961	7071.9409	7151.3830	7161.9712	16.6251	16.6125	16.8398	16.9363	8733.5820	9182.0868	9275.6495	9303.2546	0.8709	111.4785	2847.0000	100.3400	64.7895	78.0000	5363.2650	89.3878	0.6983
spark_llama	capacity	raw	1	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	122.2372	118.2943	146.0018	164.2065	14.2309	14.2152	14.3723	14.4687	1929.5655	1929.2771	1963.0480	1983.3023	0.5175	66.2463	2845.0000	89.7900	73.5040	79.0000	9142.8750	152.3812	1.1905
spark_llama	capacity	raw	2	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	187.7641	187.6133	203.5191	204.2295	16.4305	16.4248	16.5809	16.6417	2274.4434	2278.0159	2299.2537	2300.2273	0.8784	112.4290	2847.0000	96.3200	64.5695	78.0000	5404.6000	90.0767	0.7037
spark_llama	capacity	raw	4	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	2409.8713	2473.7272	2581.4221	2591.7501	16.5463	16.5265	16.9742	17.1390	4511.2465	4576.5761	4681.4245	4711.2367	0.8714	111.5395	2847.0000	84.1100	64.1307	78.0000	5538.2950	92.3049	0.7211
spark_llama	capacity	raw	6	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	4547.1493	4754.1339	4863.7690	4874.3328	16.6143	16.5814	16.9540	17.0381	6657.1646	6859.7204	6987.1098	6990.1498	0.8714	111.5392	2847.0000	90.6400	63.3377	79.0000	5386.9650	89.7828	0.7014
spark_llama	capacity	raw	8	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	6639.0135	7073.9776	7271.7684	7280.7187	16.7222	16.6540	17.1271	17.1733	8762.7322	9188.9083	9413.9410	9449.1921	0.8673	111.0152	2847.0000	95.2300	64.5600	78.0000	5273.0050	87.8834	0.6866
spark_llama	capacity	raw	1	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	119.5665	115.4051	138.0407	182.2676	14.2796	14.2740	14.4199	14.5511	1933.0752	1928.8032	1965.8847	2009.6990	0.5166	66.1266	2845.0000	87.3100	74.1174	79.0000	9078.1900	151.3032	1.1821
spark_llama	capacity	raw	2	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	194.0939	190.2692	231.0987	248.0258	16.4478	16.4218	16.7369	16.7653	2282.9614	2280.0121	2319.9841	2348.6176	0.8751	112.0137	2847.0000	86.5700	65.0805	78.0000	5302.9050	88.3817	0.6905
spark_llama	capacity	raw	4	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	2394.0974	2461.8099	2523.2394	2550.4910	16.5332	16.5255	16.7602	16.7993	4493.8090	4565.0566	4638.3232	4648.4356	0.8751	112.0151	2847.0000	83.0200	64.4803	78.0000	5487.3600	91.4560	0.7145
spark_llama	capacity	raw	6	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	4536.5119	4750.4760	4850.2701	4890.7174	16.5856	16.5702	16.8441	17.1099	6642.8789	6862.6639	6989.9766	7013.3931	0.8732	111.7754	2847.0000	85.3500	63.9139	78.0000	5374.6000	89.5767	0.6998
spark_llama	capacity	raw	8	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	6662.4010	7110.0910	7355.8278	7392.5364	16.6544	16.6593	16.8817	16.8868	8777.5073	9230.3616	9500.5435	9521.6089	0.8664	110.8959	2847.0000	87.9500	63.7039	78.0000	5301.7600	88.3627	0.6903
