suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
shape_balanced	spark_llama	256	1	0	0	1	0																						
shape_balanced	spark_llama	256	4	0	1	0	1	6.6667	0.0000	5352.5595	0.0000	5607.9342	0.0000	17.1517	0.0000	17.3598	0.0000	9733.2668	0.0000	9964.9466	0.0000	0.1758	0.0000	45.0169	0.0000	2851.0000	0.0000	91.3800	0.0000
shape_generation	spark_llama	128	1	1	0	0	1	0.0000	0.0000	207.2206	0.0000	253.7259	0.0000	14.5745	0.0000	14.9659	0.0000	7657.4716	0.0000	7860.1976	0.0000	0.1288	0.0000	65.9583	0.0000	2845.0000	0.0000	94.2300	0.0000
shape_generation	spark_llama	128	4	1	0	0	1	0.0000	0.0000	9356.8272	0.0000	9621.9074	0.0000	17.0121	0.0000	17.4479	0.0000	18058.9606	0.0000	18428.1895	0.0000	0.2205	0.0000	112.8776	0.0000	2847.0000	0.0000	100.6300	0.0000
shape_rag_medium	spark_llama	768	1	0	0	1	0																						
shape_rag_medium	spark_llama	768	4	0	1	0	1	46.6667	0.0000	4208.5773	0.0000	4554.7185	0.0000	17.6139	0.0000	18.3351	0.0000	6462.8075	0.0000	6812.2082	0.0000	0.5261	0.0000	67.3436	0.0000	2851.0000	0.0000	80.2000	0.0000
shape_short_chat	spark_llama	128	1	1	0	0	1	0.0000	0.0000	172.8868	0.0000	209.2991	0.0000	14.3867	0.0000	14.5710	0.0000	2004.0967	0.0000	2040.1499	0.0000	0.4976	0.0000	63.6918	0.0000	2845.0000	0.0000	90.1700	0.0000
shape_short_chat	spark_llama	128	4	1	0	0	1	0.0000	0.0000	2662.3637	0.0000	2934.7561	0.0000	16.7055	0.0000	16.8625	0.0000	4776.7159	0.0000	5043.1216	0.0000	0.8317	0.0000	106.4594	0.0000	2847.0000	0.0000	94.8200	0.0000
shape_summarization	spark_llama	512	1	0	1	0	1	30.0000	0.0000	400.2187	0.0000	507.3551	0.0000	14.7495	0.0000	15.1795	0.0000	2275.9701	0.0000	2413.2118	0.0000	0.1043	0.0000	13.3566	0.0000	2849.0000	0.0000	89.3700	0.0000
shape_summarization	spark_llama	512	4	0	1	0	1	30.0000	0.0000	3762.6770	0.0000	4046.3910	0.0000	17.2597	0.0000	17.6850	0.0000	5927.9665	0.0000	6395.3646	0.0000	0.0501	0.0000	6.4077	0.0000	2851.0000	0.0000	103.2200	0.0000
