arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	shape_short_chat	128	1	1	PASS	0.0000	60	60	0	100.0000	144.0000	128.0000	177.5266	172.8868	209.2991	227.1116	14.4068	14.3867	14.5710	14.7204	2007.1850	2004.0967	2040.1499	2060.5299	0.4976	63.6918	2845.0000	90.1700	71.4494	79.0000	9485.2700	158.0878	1.2351
spark_llama	shape_short_chat	128	4	1	PASS	0.0000	60	60	0	100.0000	144.0000	128.0000	2606.6729	2662.3637	2934.7561	2953.5525	16.7013	16.7055	16.8625	16.9882	4727.7418	4776.7159	5043.1216	5068.6329	0.8317	106.4594	2847.0000	94.8200	60.7152	79.0000	5545.1300	92.4188	0.7220
spark_llama	shape_balanced	256	1	1	TIMEOUT	5.0847	59	56	3	94.9153																	2845.0000	93.7500	26.4697	80.0000	17432.1450	311.2883	
spark_llama	shape_balanced	256	4	1	UNSTABLE	6.6667	60	56	4	93.3333	272.0000	256.0000	5196.2173	5352.5595	5607.9342	5665.8356	17.2612	17.1517	17.3598	20.5952	9597.8278	9733.2668	9964.9466	10917.6151	0.1758	45.0169	2851.0000	91.3800	31.2946	78.0000	12130.6750	216.6192	0.8462
spark_llama	shape_summarization	512	1	1	UNSTABLE	30.0000	60	42	18	70.0000	528.0000	128.0000	412.4107	400.2187	507.3551	628.2116	15.2868	14.7495	15.1795	27.9912	2353.8337	2275.9701	2413.2118	4054.1062	0.1043	13.3566	2849.0000	89.3700	33.0382	76.0000	9330.6200	222.1576	1.7356
spark_llama	shape_summarization	512	4	1	UNSTABLE	30.0000	60	42	18	70.0000	528.0000	128.0000	3667.7925	3762.6770	4046.3910	4163.4719	17.4747	17.2597	17.6850	21.0812	5887.0822	5927.9665	6395.3646	6488.3371	0.0501	6.4077	2851.0000	103.2200	10.8698	73.0000	9169.4550	218.3204	1.7056
spark_llama	shape_rag_medium	768	1	1	TIMEOUT	5.8824	34	32	2	94.1176																	2849.0000	79.8100	17.9487	69.0000	9436.6900	294.8966	
spark_llama	shape_rag_medium	768	4	1	UNSTABLE	46.6667	60	32	28	53.3333	784.0000	128.0000	4064.6244	4208.5773	4554.7185	4574.6644	17.7330	17.6139	18.3351	18.9568	6316.7170	6462.8075	6812.2082	6834.7905	0.5261	67.3436	2851.0000	80.2000	54.3986	66.0000	3914.5200	122.3287	0.9557
spark_llama	shape_generation	128	1	1	PASS	0.0000	60	60	0	100.0000	144.0000	512.0000	219.6778	207.2206	253.7259	403.2801	14.7501	14.5745	14.9659	18.2904	7756.9747	7657.4716	7860.1976	9712.0549	0.1288	65.9583	2845.0000	94.2300	76.6569	81.0000	33236.9300	553.9488	1.0819
spark_llama	shape_generation	128	4	1	PASS	0.0000	60	60	0	100.0000	144.0000	512.0000	9092.0451	9356.8272	9621.9074	9712.6667	17.0895	17.0121	17.4479	17.6548	17824.7767	18058.9606	18428.1895	18442.9552	0.2205	112.8776	2847.0000	100.6300	67.5612	73.0000	19626.4100	327.1068	0.6389
