suite	arm	isl	concurrency	valid_runs	invalid_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
model	qwen_llama	raw	1	4	0	4.6875	1.9041	90.6884	1.0714	110.4709	6.0759	12.8235	0.0110	12.9520	0.0450	1721.3039	2.9537	1743.9459	8.8540	0.5759	0.0005	73.7180	0.0619	3881.0000	0.0000	95.6575	10.8384
model	qwen_llama	raw	2	4	0	4.0625	3.7646	172.8166	4.4463	203.8073	9.9074	35.3315	0.4628	37.8545	1.2085	4658.3012	55.6175	4992.3011	154.8000	0.4261	0.0069	54.5450	0.8868	3885.0000	0.0000	95.0250	9.0994
model	qwen_llama	raw	3	4	0	10.6250	6.1833	215.6772	26.3090	256.8266	25.8943	37.8633	0.1932	40.5276	0.3102	5023.0177	38.1098	5352.2798	50.4938	0.5890	0.0061	75.3857	0.7807	3885.0000	0.0000	98.3950	6.6882
model	qwen_llama	raw	4	4	0	5.3125	6.1566	270.5055	12.9436	300.5969	12.9657	22.0135	0.2116	22.6654	0.9607	3065.8203	27.2029	3131.4916	40.7757	1.2904	0.0302	165.1730	3.8624	3885.0000	0.0000	88.1125	9.6738
model	spark_llama	raw	1	4	0	3.7500	2.8125	112.5757	2.7495	132.0036	13.8573	14.9657	0.0438	15.2324	0.1123	2016.4095	5.3251	2056.2663	14.5030	0.4920	0.0030	62.9714	0.3811	3439.0000	0.0000	91.8175	8.5823
model	spark_llama	raw	2	4	0	10.6250	7.3521	187.7931	2.8499	219.8126	15.2242	18.3571	0.8815	19.1370	0.5207	2520.3753	105.4017	2621.3114	76.7681	0.7808	0.0278	99.9459	3.5514	3441.0000	0.0000	93.8450	11.8150
model	spark_llama	raw	3	4	0	16.5625	13.6221	239.0772	27.8133	276.1270	16.3954	22.6581	0.5517	24.0861	0.7852	3120.8176	62.8281	3259.2462	94.1729	0.9316	0.0297	119.2509	3.8015	3441.0000	0.0000	106.9675	14.6706
model	spark_llama	raw	4	4	0	12.5000	15.9926	287.0188	36.8042	353.1504	26.5524	27.6621	1.1229	29.7725	2.6721	3824.4048	105.8447	4056.2001	288.1795	1.0245	0.0487	131.1350	6.2415	3441.0000	0.0000	103.0100	11.1787
sanity	qwen_llama	raw	1	1	0	0.0000	0.0000	85.6418	0.0000	85.6418	0.0000	11.0646	0.0000	11.0646	0.0000	251.6101	0.0000	251.6101	0.0000	3.9325	0.0000	62.9193	0.0000	3881.0000	0.0000	42.6900	0.0000
sanity	spark_llama	raw	1	1	0	0.0000	0.0000	99.5015	0.0000	99.5015	0.0000	15.0048	0.0000	15.0048	0.0000	324.5739	0.0000	324.5739	0.0000	3.0542	0.0000	48.8672	0.0000	3439.0000	0.0000	50.6600	0.0000
