arm	suite	concurrency	repeat	error_type	count	sample
spark_llama	model	1	1	ServerDisconnectedError	3	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	1	1	ServerDisconnectedError	3	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	1	2	ServerDisconnectedError	5	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	1	2	ServerDisconnectedError	4	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	1	3	ServerDisconnectedError	1	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	1	3	ServerDisconnectedError	3	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	1	4	ServerDisconnectedError	4	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	1	4	ServerDisconnectedError	4	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	2	1	ServerDisconnectedError	4	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	2	1	ServerDisconnectedError	6	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	2	2	ServerDisconnectedError	2	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	2	2	ServerDisconnectedError	8	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	2	3	ServerDisconnectedError	9	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	2	3	ServerDisconnectedError	2	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	2	4	ServerDisconnectedError	3	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	2	4	ServerDisconnectedError	13	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	3	1	ServerDisconnectedError	7	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	3	1	ServerDisconnectedError	10	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	3	2	ServerDisconnectedError	5	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	3	2	ServerDisconnectedError	23	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	3	3	ServerDisconnectedError	11	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	3	3	ServerDisconnectedError	12	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	3	4	ServerDisconnectedError	7	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	3	4	ServerDisconnectedError	12	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	4	2	ServerDisconnectedError	6	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	4	2	ServerDisconnectedError	17	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	4	3	ServerDisconnectedError	7	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	4	3	ServerDisconnectedError	7	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	model	4	4	ServerDisconnectedError	4	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	model	4	4	ServerDisconnectedError	16	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
