arm	suite	isl	concurrency	repeat	status	error_rate_pct	records	errors	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c
spark_llama	sanity	raw	1	0	PASS	0.0000	1	0	59.0000	16.0000	99.5015	99.5015	99.5015	99.5015	15.0048	15.0048	15.0048	15.0048	324.5739	324.5739	324.5739	324.5739	3.0542	48.8672	3439.0000	50.6600	7.0000	55.0000
qwen_llama	sanity	raw	1	0	PASS	0.0000	1	0	49.0000	16.0000	85.6418	85.6418	85.6418	85.6418	11.0646	11.0646	11.0646	11.0646	251.6101	251.6101	251.6101	251.6101	3.9325	62.9193	3881.0000	42.6900	7.4167	55.0000
spark_llama	model	raw	1	1	UNSTABLE	3.7500	80	3	50.9740	128.0000	116.3662	114.2126	137.2140	144.5645	14.9769	14.9456	15.1812	15.4634	2018.4379	2014.8216	2057.7550	2078.3753	0.4928	63.0786	3439.0000	86.4200	77.1265	75.0000
qwen_llama	model	raw	1	1	UNSTABLE	3.7500	80	3	40.5065	128.0000	93.7245	90.5076	113.1687	122.4525	12.8421	12.8249	12.9838	13.0936	1724.6692	1721.4369	1751.0565	1754.9535	0.5763	73.7652	3881.0000	102.6700	85.7158	78.0000
qwen_llama	model	raw	1	2	UNSTABLE	6.2500	80	5	40.3867	128.0000	91.1512	90.0205	104.8741	109.3842	12.8325	12.8147	12.9599	12.9826	1720.8800	1718.7634	1737.5432	1740.8208	0.5757	73.6945	3881.0000	87.0300	84.9161	79.0000
spark_llama	model	raw	1	2	UNSTABLE	5.0000	80	4	50.8684	128.0000	113.3670	111.5983	125.7762	138.6633	14.9780	14.9402	15.1771	15.4264	2015.5738	2012.7353	2043.2025	2070.7584	0.4928	63.0821	3439.0000	90.8000	76.3125	80.0000
spark_llama	model	raw	1	3	UNSTABLE	1.2500	80	1	50.8354	128.0000	116.8942	113.8440	141.4881	145.9614	15.0087	14.9789	15.2431	15.4147	2023.0023	2020.4083	2064.2233	2086.8950	0.4931	63.1121	3439.0000	99.3000	75.1983	80.0000
qwen_llama	model	raw	1	3	UNSTABLE	3.7500	80	3	40.5325	128.0000	95.1589	91.6234	112.6090	118.8137	12.8363	12.8315	12.9157	13.0334	1725.3669	1723.2041	1744.3346	1749.4068	0.5760	73.7334	3881.0000	93.7900	85.0239	80.0000
qwen_llama	model	raw	1	4	UNSTABLE	5.0000	80	4	40.5921	128.0000	93.5817	90.6022	111.2317	120.3280	12.8363	12.8229	12.9486	12.9907	1723.7876	1721.8110	1742.8492	1758.0653	0.5756	73.6789	3881.0000	99.1400	85.1172	80.0000
spark_llama	model	raw	1	4	UNSTABLE	5.0000	80	4	51.0132	128.0000	112.8659	110.6480	123.5361	134.9220	15.0969	14.9980	15.3280	17.0283	2030.1700	2017.6728	2059.8844	2283.3090	0.4892	62.6128	3439.0000	90.7500	75.6154	80.0000
spark_llama	model	raw	2	1	UNSTABLE	5.0000	80	4	50.7895	128.0000	188.2784	189.8429	210.1922	216.5400	18.0656	17.9072	18.9622	19.1492	2482.6071	2463.7753	2597.0348	2632.5796	0.7982	102.1649	3441.0000	89.4100	69.0467	80.0000
qwen_llama	model	raw	2	1	UNSTABLE	7.5000	80	6	40.1757	128.0000	180.3977	176.0307	212.7053	223.9357	35.5672	35.4657	37.1215	38.5695	4697.4345	4695.5424	4897.2999	5074.2974	0.4240	54.2739	3885.0000	96.7200	68.1635	80.0000
qwen_llama	model	raw	2	2	UNSTABLE	2.5000	80	2	40.5000	128.0000	173.0412	174.2546	202.1713	214.5865	35.0034	34.9012	37.4464	38.6143	4618.4768	4611.2170	4933.3118	5095.0372	0.4319	55.2808	3885.0000	101.4100	69.6111	80.0000
spark_llama	model	raw	2	2	UNSTABLE	10.0000	80	8	50.8194	128.0000	188.6328	185.6932	232.0024	282.3391	18.6831	18.8467	19.4727	19.7948	2561.3864	2577.3691	2675.8224	2716.9256	0.7681	98.3141	3441.0000	88.5700	67.7429	80.0000
spark_llama	model	raw	2	3	UNSTABLE	11.2500	80	9	50.9718	128.0000	188.3022	187.1063	214.6389	229.8436	17.9874	17.8484	18.7692	18.9443	2472.7055	2462.2355	2567.6796	2590.9011	0.7933	101.5481	3441.0000	92.7500	67.9653	79.0000
