arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	capacity	raw	1	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	117.6626	116.1689	138.8448	140.7818	15.0692	15.0495	15.2462	15.5664	2031.4461	2028.2032	2064.3843	2089.2527	0.4916	62.9291	3043.0000	90.6900	75.5155	71.0000	9105.5850	151.7598	1.1856
spark_llama	capacity	raw	2	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	208.6772	207.5485	235.3404	241.0011	17.9355	17.8802	18.3603	18.3839	2486.4804	2485.0690	2543.2488	2549.6357	0.8036	102.8544	3045.0000	82.3700	66.9632	73.0000	5662.7100	94.3785	0.7373
spark_llama	capacity	raw	4	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	2587.8861	2669.5168	2722.6078	2752.3685	18.0582	18.0250	18.5547	18.6029	4881.2726	4967.2028	5054.2475	5076.8931	0.8057	103.1333	3045.0000	103.2400	67.8466	75.0000	5725.5100	95.4252	0.7455
spark_llama	capacity	raw	6	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	4919.0571	5159.6555	5245.3957	5254.8140	18.1054	18.0806	18.4569	18.5599	7218.4404	7462.8063	7564.2914	7574.9269	0.8033	102.8223	3045.0000	83.1000	67.1350	76.0000	5727.6400	95.4607	0.7458
spark_llama	capacity	raw	8	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	7180.9061	7681.1333	7738.9739	7743.4545	18.1808	18.1832	18.4700	18.5628	9489.8696	10000.9385	10045.3044	10053.7533	0.8012	102.5548	3045.0000	84.9900	66.9448	76.0000	5793.8250	96.5637	0.7544
spark_llama	capacity	raw	1	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	115.7785	113.8304	132.5733	142.7992	15.1895	15.0880	15.4456	17.3117	2044.8437	2033.1010	2080.4254	2312.7373	0.4884	62.5164	3043.0000	91.9100	74.9765	77.0000	9169.8100	152.8302	1.1940
spark_llama	capacity	raw	2	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	204.2433	203.1556	228.4706	229.2086	18.0768	18.0477	18.3417	18.4238	2499.9969	2496.7660	2541.1679	2547.6968	0.7992	102.2966	3045.0000	88.5300	67.1049	77.0000	5553.2100	92.5535	0.7231
spark_llama	capacity	raw	4	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	2611.9055	2682.4102	2740.2886	2745.5385	18.1468	18.1309	18.5549	18.5657	4916.5469	4993.7844	5059.3661	5086.3808	0.7999	102.3914	3045.0000	97.2100	66.6667	77.0000	5625.1000	93.7517	0.7324
spark_llama	capacity	raw	6	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	4968.9231	5216.6457	5283.9250	5299.1508	18.2524	18.2363	18.6572	18.7149	7286.9727	7540.1169	7629.8892	7632.2831	0.7961	101.8971	3045.0000	94.3100	67.0245	78.0000	5728.9900	95.4832	0.7460
spark_llama	capacity	raw	8	2	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	7245.4142	7751.2563	7841.1636	7844.7974	18.2953	18.2819	18.6043	18.7183	9568.9235	10072.5915	10163.2763	10207.5187	0.7946	101.7071	3045.0000	91.5400	66.5636	77.0000	5753.9350	95.8989	0.7492
spark_llama	capacity	raw	1	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	126.0804	125.2801	143.2845	150.6603	15.1325	15.1216	15.2718	15.4970	2047.9128	2045.7682	2070.2474	2095.7591	0.4877	62.4217	3043.0000	89.0500	74.9488	78.0000	9028.4150	150.4736	1.1756
spark_llama	capacity	raw	2	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	203.2874	201.5772	226.7661	242.5502	18.0604	18.0570	18.4352	18.5580	2496.9583	2493.3837	2546.4931	2552.6978	0.8000	102.4027	3045.0000	82.2400	67.1829	78.0000	5729.0950	95.4849	0.7460
spark_llama	capacity	raw	4	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	2630.3626	2710.0011	2754.1421	2776.1470	18.2449	18.2009	18.5899	18.7914	4947.4612	5020.6489	5111.4964	5142.5178	0.7948	101.7396	3045.0000	81.7200	66.4815	78.0000	5586.1300	93.1022	0.7274
spark_llama	capacity	raw	6	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	4981.1031	5232.6004	5271.4182	5308.0695	18.2966	18.2733	18.5903	18.7145	7304.7726	7562.6069	7594.0595	7621.4312	0.7939	101.6205	3045.0000	97.5800	66.3735	78.0000	5774.5150	96.2419	0.7519
spark_llama	capacity	raw	8	3	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	7283.0333	7795.3793	7838.1128	7850.5099	18.3442	18.3153	18.7919	18.8155	9612.7412	10125.1101	10177.5453	10202.5257	0.7913	101.2833	3045.0000	96.2200	66.6173	78.0000	5646.4800	94.1080	0.7352
