suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
shape_balanced	spark_llama	256	1	0	1	0	1	5.0000	0.0000	270.4368	0.0000	335.9106	0.0000	15.3083	0.0000	15.6204	0.0000	4174.2475	0.0000	4319.8336	0.0000	0.0724	0.0000	18.5369	0.0000	3043.0000	0.0000	113.9700	0.0000
shape_balanced	spark_llama	256	4	0	1	0	1	6.6667	0.0000	5594.6303	0.0000	5810.5999	0.0000	18.3709	0.0000	18.8534	0.0000	10275.3915	0.0000	10530.4503	0.0000	0.1720	0.0000	44.0285	0.0000	3049.0000	0.0000	93.8400	0.0000
shape_generation	spark_llama	128	1	1	0	0	1	0.0000	0.0000	234.7436	0.0000	373.4712	0.0000	15.3812	0.0000	15.5738	0.0000	8104.0751	0.0000	8330.8431	0.0000	0.1229	0.0000	62.9007	0.0000	3043.0000	0.0000	93.5500	0.0000
shape_generation	spark_llama	128	4	1	0	0	1	0.0000	0.0000	10180.6489	0.0000	10402.1186	0.0000	18.3956	0.0000	18.7441	0.0000	19587.5919	0.0000	19870.0153	0.0000	0.2039	0.0000	104.4078	0.0000	3045.0000	0.0000	113.6400	0.0000
shape_rag_medium	spark_llama	768	1	0	0	1	0																						
shape_rag_medium	spark_llama	768	4	0	1	0	1	46.6667	0.0000	4742.4747	0.0000	4954.5190	0.0000	19.4488	0.0000	20.8351	0.0000	7209.6880	0.0000	7507.7692	0.0000	0.3514	0.0000	44.9849	0.0000	3049.0000	0.0000	85.5000	0.0000
shape_short_chat	spark_llama	128	1	1	0	0	1	0.0000	0.0000	177.1922	0.0000	193.5917	0.0000	15.1848	0.0000	15.3657	0.0000	2107.8568	0.0000	2135.4475	0.0000	0.4736	0.0000	60.6230	0.0000	3043.0000	0.0000	96.9000	0.0000
shape_short_chat	spark_llama	128	4	1	0	0	1	0.0000	0.0000	2929.7376	0.0000	3079.4394	0.0000	18.1826	0.0000	18.5473	0.0000	5227.5545	0.0000	5398.4738	0.0000	0.7643	0.0000	97.8294	0.0000	3045.0000	0.0000	98.4000	0.0000
shape_summarization	spark_llama	512	1	0	1	0	1	28.3333	0.0000	396.0834	0.0000	482.4794	0.0000	15.4155	0.0000	15.9428	0.0000	2356.9999	0.0000	2448.3028	0.0000	0.0636	0.0000	8.1373	0.0000	3047.0000	0.0000	103.1900	0.0000
shape_summarization	spark_llama	512	4	0	1	0	1	30.0000	0.0000	3986.9357	0.0000	4129.6354	0.0000	18.6252	0.0000	19.3778	0.0000	6355.0838	0.0000	6501.8822	0.0000	0.0993	0.0000	12.7163	0.0000	3049.0000	0.0000	97.1300	0.0000
