suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
capacity	qwen_llama	raw	1	1	0	0	1	0.0000	0.0000	84.9633	0.0000	108.9662	0.0000	12.0458	0.0000	12.1690	0.0000	1615.8974	0.0000	1643.7278	0.0000	0.5760	0.0000	73.7302	0.0000	3881.0000	0.0000	93.9600	0.0000
capacity	qwen_llama	raw	2	1	0	0	1	0.0000	0.0000	168.5749	0.0000	202.4617	0.0000	31.7306	0.0000	34.7508	0.0000	4206.9460	0.0000	4596.0368	0.0000	0.4348	0.0000	55.6520	0.0000	3885.0000	0.0000	94.3200	0.0000
capacity	qwen_llama	raw	3	1	0	0	1	0.0000	0.0000	229.5903	0.0000	288.2057	0.0000	36.0907	0.0000	39.5433	0.0000	4836.4001	0.0000	5242.6260	0.0000	0.5712	0.0000	73.1094	0.0000	3885.0000	0.0000	91.9300	0.0000
capacity	qwen_llama	raw	4	1	0	0	1	0.0000	0.0000	255.3798	0.0000	295.2826	0.0000	20.0437	0.0000	21.3026	0.0000	2812.5516	0.0000	2977.8193	0.0000	1.3254	0.0000	169.6550	0.0000	3885.0000	0.0000	92.7400	0.0000
capacity	qwen_llama	raw	6	1	0	0	1	0.0000	0.0000	257.2554	0.0000	3130.1097	0.0000	20.4508	0.0000	20.8959	0.0000	2891.1240	0.0000	5736.9557	0.0000	1.2600	0.0000	161.2754	0.0000	3885.0000	0.0000	92.5800	0.0000
capacity	qwen_llama	raw	8	1	0	0	1	0.0000	0.0000	3112.0214	0.0000	3190.3138	0.0000	20.6472	0.0000	20.8517	0.0000	5718.3155	0.0000	5793.7181	0.0000	1.3220	0.0000	169.2147	0.0000	3885.0000	0.0000	86.4000	0.0000
capacity	spark_llama	raw	1	1	0	0	1	0.0000	0.0000	108.0781	0.0000	123.3674	0.0000	13.9802	0.0000	15.0921	0.0000	1882.1211	0.0000	2025.5913	0.0000	0.4884	0.0000	62.5159	0.0000	3439.0000	0.0000	84.1400	0.0000
capacity	spark_llama	raw	2	1	0	0	1	0.0000	0.0000	179.9846	0.0000	190.4904	0.0000	16.7188	0.0000	17.0318	0.0000	2300.1926	0.0000	2353.5870	0.0000	0.8133	0.0000	104.0985	0.0000	3441.0000	0.0000	101.9600	0.0000
capacity	spark_llama	raw	3	1	0	0	1	0.0000	0.0000	222.9248	0.0000	236.1474	0.0000	20.5914	0.0000	21.6983	0.0000	2833.0018	0.0000	2982.9661	0.0000	1.0035	0.0000	128.4451	0.0000	3441.0000	0.0000	104.3600	0.0000
capacity	spark_llama	raw	4	1	0	0	1	0.0000	0.0000	298.0203	0.0000	340.6772	0.0000	24.6092	0.0000	25.8756	0.0000	3407.0271	0.0000	3589.0634	0.0000	1.1090	0.0000	141.9523	0.0000	3441.0000	0.0000	112.1200	0.0000
capacity	spark_llama	raw	6	1	0	0	1	0.0000	0.0000	309.3593	0.0000	3878.8860	0.0000	25.3156	0.0000	26.3591	0.0000	3625.7326	0.0000	7093.9966	0.0000	1.0425	0.0000	133.4347	0.0000	3441.0000	0.0000	100.0200	0.0000
capacity	spark_llama	raw	8	1	0	0	1	0.0000	0.0000	3811.5138	0.0000	3843.6135	0.0000	25.2845	0.0000	25.6845	0.0000	7025.4982	0.0000	7084.2443	0.0000	1.0438	0.0000	133.6068	0.0000	3441.0000	0.0000	87.7600	0.0000
