arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	59.0000	16.0000	95.4015	95.4015	95.4015	95.4015	13.7881	13.7881	13.7881	13.7881	302.2234	302.2234	302.2234	302.2234	3.2793	52.4681	3439.0000	57.6600	6.7143	52.0000	192.4150	192.4150	12.0259
qwen_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	49.0000	16.0000	78.3162	78.3162	78.3162	78.3162	10.1430	10.1430	10.1430	10.1430	230.4609	230.4609	230.4609	230.4609	4.2900	68.6407	3881.0000	61.7200	9.6667	54.0000	154.6950	154.6950	9.6684
spark_llama	capacity	raw	1	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	109.3399	108.0781	123.3674	127.1041	14.0740	13.9802	15.0921	15.3102	1896.7402	1882.1211	2025.5913	2064.9779	0.4884	62.5159	3439.0000	84.1400	75.7470	73.0000	9063.6500	151.0608	1.1802
qwen_llama	capacity	raw	1	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	87.9220	84.9633	108.9662	112.4652	12.0432	12.0458	12.1690	12.2966	1617.4125	1615.8974	1643.7278	1651.2878	0.5760	73.7302	3881.0000	93.9600	84.8402	77.0000	7886.3300	131.4388	1.0269
spark_llama	capacity	raw	2	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	178.1471	179.9846	190.4904	193.8083	16.6763	16.7188	17.0318	17.2472	2296.0330	2300.1926	2353.5870	2365.5211	0.8133	104.0985	3441.0000	101.9600	67.2625	77.0000	5744.9500	95.7492	0.7480
qwen_llama	capacity	raw	2	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	171.1653	168.5749	202.4617	205.2404	32.2078	31.7306	34.7508	37.0358	4261.5527	4206.9460	4596.0368	4873.1878	0.4348	55.6520	3885.0000	94.3200	69.8864	79.0000	9777.7450	162.9624	1.2731
spark_llama	capacity	raw	3	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	221.3543	222.9248	236.1474	238.7781	20.7017	20.5914	21.6983	21.7509	2850.4660	2833.0018	2982.9661	2998.2287	1.0035	128.4451	3441.0000	104.3600	62.9926	78.0000	4756.0600	79.2677	0.6193
qwen_llama	capacity	raw	3	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	238.4284	229.5903	288.2057	318.6709	36.1136	36.0907	39.5433	40.3058	4824.8590	4836.4001	5242.6260	5315.2742	0.5712	73.1094	3885.0000	91.9300	64.7081	78.0000	7155.6800	119.2613	0.9317
spark_llama	capacity	raw	4	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	289.4382	298.0203	340.6772	343.2299	24.6805	24.6092	25.8756	25.8768	3423.8671	3407.0271	3589.0634	3591.4265	1.1090	141.9523	3441.0000	112.1200	61.4797	78.0000	4336.8650	72.2811	0.5647
qwen_llama	capacity	raw	4	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	252.6832	255.3798	295.2826	296.8295	20.2887	20.0437	21.3026	21.3078	2829.3517	2812.5516	2977.8193	2979.4604	1.3254	169.6550	3885.0000	92.7400	76.4615	77.0000	3649.1650	60.8194	0.4752
spark_llama	capacity	raw	6	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	1913.5624	309.3593	3878.8860	3952.3754	25.2638	25.3156	26.3591	26.3767	5122.0691	3625.7326	7093.9966	7252.5924	1.0425	133.4347	3441.0000	100.0200	62.0161	77.0000	4322.6150	72.0436	0.5628
qwen_llama	capacity	raw	6	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	1563.6890	257.2554	3130.1097	3135.3306	20.5102	20.4508	20.8959	20.8982	4168.4851	2891.1240	5736.9557	5763.9677	1.2600	161.2754	3885.0000	92.5800	77.0673	77.0000	3674.4900	61.2415	0.4784
spark_llama	capacity	raw	8	1	PASS	0.0000	60	60	0	100.0000	50.8500	128.0000	3560.5565	3811.5138	3843.6135	3853.5927	25.2639	25.2845	25.6845	25.7546	6769.0708	7025.4982	7084.2443	7093.4776	1.0438	133.6068	3441.0000	87.7600	61.7200	77.0000	4305.5000	71.7583	0.5606
qwen_llama	capacity	raw	8	1	PASS	0.0000	60	60	0	100.0000	40.4500	128.0000	2915.4068	3112.0214	3190.3138	3192.1505	20.5684	20.6472	20.8517	20.8544	5527.5973	5718.3155	5793.7181	5795.1010	1.3220	169.2147	3885.0000	86.4000	76.6381	77.0000	3678.1700	61.3028	0.4789
