arm	suite	isl	concurrency	repeat	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	3439.0000	57.6600	6.7143	52.0000	192.4150	192.4150	12.0259
qwen_llama	sanity	raw	1	0	3881.0000	61.7200	9.6667	54.0000	154.6950	154.6950	9.6684
spark_llama	capacity	raw	1	1	3439.0000	84.1400	75.7470	73.0000	9063.6500	151.0608	1.1802
qwen_llama	capacity	raw	1	1	3881.0000	93.9600	84.8402	77.0000	7886.3300	131.4388	1.0269
spark_llama	capacity	raw	2	1	3441.0000	101.9600	67.2625	77.0000	5744.9500	95.7492	0.7480
qwen_llama	capacity	raw	2	1	3885.0000	94.3200	69.8864	79.0000	9777.7450	162.9624	1.2731
spark_llama	capacity	raw	3	1	3441.0000	104.3600	62.9926	78.0000	4756.0600	79.2677	0.6193
qwen_llama	capacity	raw	3	1	3885.0000	91.9300	64.7081	78.0000	7155.6800	119.2613	0.9317
spark_llama	capacity	raw	4	1	3441.0000	112.1200	61.4797	78.0000	4336.8650	72.2811	0.5647
qwen_llama	capacity	raw	4	1	3885.0000	92.7400	76.4615	77.0000	3649.1650	60.8194	0.4752
spark_llama	capacity	raw	6	1	3441.0000	100.0200	62.0161	77.0000	4322.6150	72.0436	0.5628
qwen_llama	capacity	raw	6	1	3885.0000	92.5800	77.0673	77.0000	3674.4900	61.2415	0.4784
spark_llama	capacity	raw	8	1	3441.0000	87.7600	61.7200	77.0000	4305.5000	71.7583	0.5606
qwen_llama	capacity	raw	8	1	3885.0000	86.4000	76.6381	77.0000	3678.1700	61.3028	0.4789
