suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
capacity	qwen_llama	raw	1	1	0	0	1	0.0000	0.0000	119.2349	0.0000	119.2349	0.0000	12.8376	0.0000	12.8376	0.0000	1749.6130	0.0000	1749.6130	0.0000	0.5705	0.0000	73.0221	0.0000	3881.0000	0.0000	80.1200	0.0000
capacity	qwen_llama	raw	2	1	0	0	1	0.0000	0.0000	133.9912	0.0000	133.9912	0.0000	12.8104	0.0000	12.8104	0.0000	1760.9075	0.0000	1760.9075	0.0000	0.5669	0.0000	72.5665	0.0000	3883.0000	0.0000	80.1200	0.0000
capacity	qwen_llama	raw	3	1	0	0	1	0.0000	0.0000	85.5216	0.0000	85.5216	0.0000	12.8153	0.0000	12.8153	0.0000	1713.0605	0.0000	1713.0605	0.0000	0.5826	0.0000	74.5705	0.0000	3883.0000	0.0000	80.7900	0.0000
capacity	qwen_llama	raw	4	1	0	0	1	0.0000	0.0000	107.8058	0.0000	107.8058	0.0000	12.8097	0.0000	12.8097	0.0000	1734.6361	0.0000	1734.6361	0.0000	0.5755	0.0000	73.6616	0.0000	3883.0000	0.0000	83.8800	0.0000
capacity	qwen_llama	raw	6	1	0	0	1	0.0000	0.0000	116.1886	0.0000	116.1886	0.0000	12.5332	0.0000	12.5332	0.0000	1707.9013	0.0000	1707.9013	0.0000	0.5843	0.0000	74.7922	0.0000	3883.0000	0.0000	79.9000	0.0000
capacity	qwen_llama	raw	8	1	0	0	1	0.0000	0.0000	114.9433	0.0000	114.9433	0.0000	12.4751	0.0000	12.4751	0.0000	1699.2805	0.0000	1699.2805	0.0000	0.5874	0.0000	75.1849	0.0000	3883.0000	0.0000	100.7600	0.0000
capacity	spark_llama	raw	1	1	0	0	1	0.0000	0.0000	112.7508	0.0000	112.7508	0.0000	15.0835	0.0000	15.0835	0.0000	2028.3497	0.0000	2028.3497	0.0000	0.4923	0.0000	63.0103	0.0000	3439.0000	0.0000	87.0700	0.0000
capacity	spark_llama	raw	2	1	0	0	1	0.0000	0.0000	139.1324	0.0000	139.1324	0.0000	15.0694	0.0000	15.0694	0.0000	2052.9430	0.0000	2052.9430	0.0000	0.4864	0.0000	62.2538	0.0000	3441.0000	0.0000	86.8600	0.0000
capacity	spark_llama	raw	3	1	0	0	1	0.0000	0.0000	109.7001	0.0000	109.7001	0.0000	14.9743	0.0000	14.9743	0.0000	2011.4365	0.0000	2011.4365	0.0000	0.4964	0.0000	63.5336	0.0000	3441.0000	0.0000	87.7800	0.0000
capacity	spark_llama	raw	4	1	0	0	1	0.0000	0.0000	137.1731	0.0000	137.1731	0.0000	14.9831	0.0000	14.9831	0.0000	2040.0234	0.0000	2040.0234	0.0000	0.4894	0.0000	62.6383	0.0000	3441.0000	0.0000	101.0200	0.0000
capacity	spark_llama	raw	6	1	0	0	1	0.0000	0.0000	134.6415	0.0000	134.6415	0.0000	15.0165	0.0000	15.0165	0.0000	2041.7331	0.0000	2041.7331	0.0000	0.4890	0.0000	62.5909	0.0000	3441.0000	0.0000	80.0000	0.0000
capacity	spark_llama	raw	8	1	0	0	1	0.0000	0.0000	146.7394	0.0000	146.7394	0.0000	14.9467	0.0000	14.9467	0.0000	2044.9647	0.0000	2044.9647	0.0000	0.4882	0.0000	62.4872	0.0000	3441.0000	0.0000	77.8700	0.0000
openloop	qwen_llama	raw	16	6	0	0	6	0.0000	0.0000	147.2616	50.1339	393.9190	54.8592	16.7466	3.2095	27.0759	4.7336	2323.2204	356.2027	3614.6391	599.4445	0.4292	0.2087	54.9383	26.7120	3883.3333	0.9253	93.4900	15.8462
openloop	spark_llama	raw	16	6	0	0	6	0.0000	0.0000	236.3978	43.3296	1401.2504	1233.2927	23.3960	6.5682	34.2433	10.1452	3301.1872	892.2504	5497.1614	2378.4623	0.4284	0.2091	54.8407	26.7633	3441.0000	0.0000	94.2667	10.4742
