arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	59.0000	16.0000	102.4162	102.4162	102.4162	102.4162	15.2897	15.2897	15.2897	15.2897	331.7617	331.7617	331.7617	331.7617	2.9867	47.7873	3439.0000	72.4300	12.2143	72.0000	208.8800	208.8800	13.0550
qwen_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	49.0000	16.0000	84.0339	84.0339	84.0339	84.0339	11.0701	11.0701	11.0701	11.0701	250.0848	250.0848	250.0848	250.0848	3.9491	63.1864	3881.0000	42.6100	6.5000	67.0000	168.4750	168.4750	10.5297
spark_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3437.0000	28.2800	0.0000	62.0000	25.1900		
qwen_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3881.0000	28.2300	0.0000	61.0000	26.2350		
spark_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3437.0000	23.6800	0.0000	59.0000	23.0250		
qwen_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3881.0000	23.5500	0.0000	58.0000	22.8950		
spark_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3437.0000	23.4500	0.0000	58.0000	23.4500		
qwen_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3881.0000	23.4200	0.0000	57.0000	23.4200		
spark_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3437.0000	23.8800	0.0000	57.0000	23.8800		
qwen_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3881.0000	28.0100	16.5000	57.0000	27.0000		
spark_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3437.0000	27.3100	13.0000	57.0000	26.2950		
qwen_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3881.0000	27.9900	16.0000	57.0000	26.9600		
spark_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3437.0000	23.7400	0.0000	56.0000	23.7400		
qwen_llama	openloop	raw	16	1	FAIL_AIPERF		0	None	0																		3881.0000	27.7100	21.0000	56.0000	26.8200		
