arm	suite	isl	concurrency	repeat	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	3439.0000	49.0700	10.6154	55.0000	183.9250	183.9250	11.4953
qwen_llama	sanity	raw	1	0	3881.0000	41.1900	10.5833	54.0000	166.7400	166.7400	10.4213
spark_llama	capacity	raw	1	1	3439.0000	87.0700	62.4815	66.0000	1737.8150	1737.8150	13.5767
qwen_llama	capacity	raw	1	1	3881.0000	80.1200	69.2708	67.0000	1523.5200	1523.5200	11.9025
spark_llama	capacity	raw	2	1	3441.0000	86.8600	54.4250	68.0000	1200.2900	1200.2900	9.3773
qwen_llama	capacity	raw	2	1	3883.0000	80.1200	59.3824	67.0000	986.5500	986.5500	7.7074
spark_llama	capacity	raw	3	1	3441.0000	87.7800	51.1622	68.0000	1122.8200	1122.8200	8.7720
qwen_llama	capacity	raw	3	1	3883.0000	80.7900	58.0303	67.0000	945.0000	945.0000	7.3828
spark_llama	capacity	raw	4	1	3441.0000	101.0200	50.0286	68.0000	1015.7400	1015.7400	7.9355
qwen_llama	capacity	raw	4	1	3883.0000	83.8800	55.6667	67.0000	875.1800	875.1800	6.8373
spark_llama	capacity	raw	6	1	3441.0000	80.0000	45.9714	68.0000	1040.3850	1040.3850	8.1280
qwen_llama	capacity	raw	6	1	3883.0000	79.9000	52.0968	67.0000	863.2900	863.2900	6.7445
spark_llama	capacity	raw	8	1	3441.0000	77.8700	50.2195	69.0000	1126.9200	1126.9200	8.8041
qwen_llama	capacity	raw	8	1	3883.0000	100.7600	54.5000	69.0000	907.6250	907.6250	7.0908
spark_llama	openloop	raw	16	1	3441.0000	94.5200	22.0353	66.0000	46556.2900	232.7815	1.8186
qwen_llama	openloop	raw	16	1	3883.0000	85.5600	21.9609	65.0000	43968.3150	219.8416	1.7175
spark_llama	openloop	raw	16	1	3441.0000	82.2900	37.5792	69.0000	33704.2700	168.5213	1.3166
qwen_llama	openloop	raw	16	1	3883.0000	82.5800	38.1071	69.0000	31496.3850	157.4819	1.2303
spark_llama	openloop	raw	16	1	3441.0000	88.9100	48.0663	73.0000	27520.9800	137.6049	1.0750
qwen_llama	openloop	raw	16	1	3885.0000	88.3900	50.0135	71.0000	25448.5400	127.2427	0.9941
spark_llama	openloop	raw	16	1	3441.0000	110.0900	50.2749	75.0000	23766.0500	118.8302	0.9284
qwen_llama	openloop	raw	16	1	3883.0000	96.9900	55.2605	74.0000	23099.9600	115.4998	0.9023
spark_llama	openloop	raw	16	1	3441.0000	96.2600	54.6483	76.0000	22718.0800	113.5904	0.8874
qwen_llama	openloop	raw	16	1	3883.0000	120.2700	58.8803	75.0000	21780.7900	108.9040	0.8508
spark_llama	openloop	raw	16	1	3441.0000	93.5300	58.3002	76.0000	22214.1550	111.0708	0.8677
qwen_llama	openloop	raw	16	1	3883.0000	87.1500	61.9545	75.0000	20879.4950	104.3975	0.8156
