arm	load_fraction	target_rate_rps	slo_profile	attempted	slo_compliant	good_request_fraction	goodput_req_s
qwen_llama	f0.25	0.1469	interactive	200	199	0.9950	0.1432
qwen_llama	f0.25	0.1469	server	200	200	1.0000	0.1440
qwen_llama	f0.5	0.2937	interactive	200	196	0.9800	0.2822
qwen_llama	f0.5	0.2937	server	200	200	1.0000	0.2880
qwen_llama	f0.75	0.4405	interactive	200	193	0.9650	0.4160
qwen_llama	f0.75	0.4405	server	200	200	1.0000	0.4310
qwen_llama	f0.9	0.5287	interactive	200	186	0.9300	0.4805
qwen_llama	f0.9	0.5287	server	200	200	1.0000	0.5166
qwen_llama	f1.0	0.5874	interactive	200	189	0.9450	0.5408
qwen_llama	f1.0	0.5874	server	200	200	1.0000	0.5723
qwen_llama	f1.1	0.6461	interactive	200	183	0.9150	0.5788
qwen_llama	f1.1	0.6461	server	200	200	1.0000	0.6325
spark_llama	f0.25	0.1469	interactive	200	200	1.0000	0.1424
spark_llama	f0.25	0.1469	server	200	200	1.0000	0.1424
spark_llama	f0.5	0.2937	interactive	200	186	0.9300	0.2674
spark_llama	f0.5	0.2937	server	200	200	1.0000	0.2875
spark_llama	f0.75	0.4405	interactive	200	169	0.8450	0.3633
spark_llama	f0.75	0.4405	server	200	200	1.0000	0.4299
spark_llama	f0.9	0.5287	interactive	200	101	0.5050	0.2602
spark_llama	f0.9	0.5287	server	200	181	0.9050	0.4662
spark_llama	f1.0	0.5874	interactive	200	100	0.5000	0.2867
spark_llama	f1.0	0.5874	server	200	187	0.9350	0.5362
spark_llama	f1.1	0.6461	interactive	200	102	0.5100	0.3220
spark_llama	f1.1	0.6461	server	200	189	0.9450	0.5967
