suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
shape_balanced	qwen_llama	256	1	1	0	0	1	0.0000	0.0000	215.6729	0.0000	251.9976	0.0000	13.2802	0.0000	13.3878	0.0000	3603.7295	0.0000	3647.2924	0.0000	0.2767	0.0000	70.8360	0.0000	3883.0000	0.0000	95.5100	0.0000
shape_balanced	qwen_llama	256	4	1	0	0	1	0.0000	0.0000	664.9882	0.0000	844.8431	0.0000	22.9323	0.0000	23.2181	0.0000	6506.7059	0.0000	6739.7227	0.0000	0.6118	0.0000	156.6237	0.0000	3889.0000	0.0000	89.7300	0.0000
shape_balanced	spark_llama	256	1	0	0	1	0																						
shape_balanced	spark_llama	256	4	0	1	0	1	6.6667	0.0000	918.4373	0.0000	1122.1914	0.0000	27.8242	0.0000	28.5369	0.0000	7999.8607	0.0000	8343.2685	0.0000	0.1911	0.0000	48.9233	0.0000	3445.0000	0.0000	99.5200	0.0000
shape_generation	qwen_llama	128	1	1	0	0	1	0.0000	0.0000	189.6356	0.0000	229.9979	0.0000	13.3748	0.0000	13.4484	0.0000	7030.1334	0.0000	7093.0778	0.0000	0.1421	0.0000	72.7348	0.0000	3883.0000	0.0000	89.9700	0.0000
shape_generation	qwen_llama	128	4	1	0	0	1	0.0000	0.0000	575.4140	0.0000	753.9947	0.0000	22.6786	0.0000	22.9950	0.0000	12204.2613	0.0000	12462.6668	0.0000	0.3277	0.0000	167.8025	0.0000	3889.0000	0.0000	89.0200	0.0000
shape_generation	spark_llama	128	1	1	0	0	1	0.0000	0.0000	212.2656	0.0000	257.2188	0.0000	15.3424	0.0000	15.4519	0.0000	8056.6412	0.0000	8158.6516	0.0000	0.1241	0.0000	63.5348	0.0000	3441.0000	0.0000	93.3500	0.0000
shape_generation	spark_llama	128	4	1	0	0	1	0.0000	0.0000	696.2517	0.0000	841.5583	0.0000	27.8024	0.0000	28.2237	0.0000	14865.6627	0.0000	15263.8471	0.0000	0.2684	0.0000	137.4312	0.0000	3445.0000	0.0000	114.1100	0.0000
shape_rag_medium	qwen_llama	1024	1	0	1	0	1	40.0000	0.0000	569.2463	0.0000	683.6232	0.0000	13.6134	0.0000	13.7570	0.0000	2290.9359	0.0000	2419.2315	0.0000	0.0457	0.0000	5.8468	0.0000	3887.0000	0.0000	112.7900	0.0000
shape_rag_medium	qwen_llama	1024	4	0	1	0	1	41.6667	0.0000	2091.3906	0.0000	2666.4244	0.0000	24.3711	0.0000	34.9652	0.0000	5176.7175	0.0000	5816.3420	0.0000	0.0561	0.0000	7.1827	0.0000	3897.0000	0.0000	81.3700	0.0000
shape_rag_medium	spark_llama	1024	1	0	1	0	1	58.3333	0.0000	694.7779	0.0000	814.4998	0.0000	15.7076	0.0000	16.3064	0.0000	2719.8524	0.0000	2832.9727	0.0000	0.0844	0.0000	10.8009	0.0000	3445.0000	0.0000	90.7300	0.0000
shape_rag_medium	spark_llama	1024	4	0	1	0	1	55.0000	0.0000	3481.5132	0.0000	5683.7837	0.0000	29.7659	0.0000	1366.2148	0.0000	7280.3933	0.0000	179205.4068	0.0000	0.0505	0.0000	6.4623	0.0000	3445.0000	0.0000	93.6400	0.0000
shape_short_chat	qwen_llama	128	1	1	0	0	1	0.0000	0.0000	132.8665	0.0000	148.6141	0.0000	12.8754	0.0000	13.0535	0.0000	1767.8472	0.0000	1798.0889	0.0000	0.5545	0.0000	70.9777	0.0000	3883.0000	0.0000	86.2800	0.0000
shape_short_chat	qwen_llama	128	4	1	0	0	1	0.0000	0.0000	392.8527	0.0000	428.7862	0.0000	21.6697	0.0000	22.1246	0.0000	3142.0759	0.0000	3238.6144	0.0000	1.2313	0.0000	157.6003	0.0000	3889.0000	0.0000	87.3300	0.0000
shape_short_chat	spark_llama	128	1	1	0	0	1	0.0000	0.0000	170.4430	0.0000	193.3320	0.0000	14.9019	0.0000	15.2638	0.0000	2065.1504	0.0000	2118.7692	0.0000	0.4731	0.0000	60.5585	0.0000	3441.0000	0.0000	104.0200	0.0000
