arm	suite	concurrency	repeat	error_type	count	sample
spark_llama	shape_balanced	1	1	TimeoutError	3	{"cause": "CancelledError()", "cause_chain": ["TimeoutError", "CancelledError"], "message": "TimeoutError()", "type": "TimeoutError"}
spark_llama	shape_balanced	4	1	TimeoutError	4	{"cause": "CancelledError()", "cause_chain": ["TimeoutError", "CancelledError"], "message": "TimeoutError()", "type": "TimeoutError"}
spark_llama	shape_summarization	1	1	TimeoutError	2	{"cause": "CancelledError()", "cause_chain": ["TimeoutError", "CancelledError"], "message": "TimeoutError()", "type": "TimeoutError"}
spark_llama	shape_summarization	4	1	ConnectionReset	9	{"cause": "ConnectionResetError(104, 'Connection reset by peer')", "cause_chain": ["ClientOSError", "ConnectionResetError"], "message": "ClientOSError(104, 'Connection reset by peer')", "type": "ClientOSError"}
spark_llama	shape_summarization	4	1	ServerDisconnectedError	7	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	shape_rag_medium	1	1	ClientOSError	3	{"cause": "ClientConnectionResetError('Cannot write to closing transport')", "cause_chain": ["ClientOSError", "ClientConnectionResetError"], "message": "ClientOSError(None, 'Can not write request body for http://127.0.0.1:8100/v1/chat/completions')", "type": "ClientOSError"}
spark_llama	shape_rag_medium	1	1	ConnectionReset	15	{"cause": "ConnectionResetError(104, 'Connection reset by peer')", "cause_chain": ["ClientOSError", "ConnectionResetError"], "message": "ClientOSError(104, 'Connection reset by peer')", "type": "ClientOSError"}
spark_llama	shape_rag_medium	1	1	ServerDisconnectedError	16	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	shape_rag_medium	1	1	TimeoutError	1	{"cause": "CancelledError()", "cause_chain": ["TimeoutError", "CancelledError"], "message": "TimeoutError()", "type": "TimeoutError"}
qwen_llama	shape_rag_medium	1	1	ConnectionError	21	{"cause": "ConnectionRefusedError(111, \"Connect call failed ('127.0.0.1', 8101)\")", "cause_chain": ["ClientConnectorError", "ConnectionRefusedError"], "message": "ClientConnectorError(ConnectionKey(host='127.0.0.1', port=8101, is_ssl=False, ssl=True, proxy=None, proxy_auth=None, proxy_headers_hash=None), ConnectionRefusedError(111, \"Connect call failed ('127.0.0.1', 8101)\"))", "type": "ClientConnectorError"}
qwen_llama	shape_rag_medium	1	1	ConnectionReset	1	{"cause": "ConnectionResetError(104, 'Connection reset by peer')", "cause_chain": ["ClientOSError", "ConnectionResetError"], "message": "ClientOSError(104, 'Connection reset by peer')", "type": "ClientOSError"}
qwen_llama	shape_rag_medium	1	1	TimeoutError	2	{"cause": "CancelledError()", "cause_chain": ["TimeoutError", "CancelledError"], "message": "TimeoutError()", "type": "TimeoutError"}
spark_llama	shape_rag_medium	4	1	ClientOSError	5	{"cause": "ClientConnectionResetError('Cannot write to closing transport')", "cause_chain": ["ClientOSError", "ClientConnectionResetError"], "message": "ClientOSError(None, 'Can not write request body for http://127.0.0.1:8100/v1/chat/completions')", "type": "ClientOSError"}
spark_llama	shape_rag_medium	4	1	ConnectionReset	17	{"cause": "ConnectionResetError(104, 'Connection reset by peer')", "cause_chain": ["ClientOSError", "ConnectionResetError"], "message": "ClientOSError(104, 'Connection reset by peer')", "type": "ClientOSError"}
spark_llama	shape_rag_medium	4	1	ServerDisconnectedError	6	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
spark_llama	shape_rag_medium	4	1	TimeoutError	5	{"cause": "CancelledError()", "cause_chain": ["TimeoutError", "CancelledError"], "message": "TimeoutError()", "type": "TimeoutError"}
qwen_llama	shape_rag_medium	4	1	ClientOSError	1	{"cause": "ClientConnectionResetError('Cannot write to closing transport')", "cause_chain": ["ClientOSError", "ClientConnectionResetError"], "message": "ClientOSError(None, 'Can not write request body for http://127.0.0.1:8101/v1/chat/completions')", "type": "ClientOSError"}
qwen_llama	shape_rag_medium	4	1	ConnectionReset	6	{"cause": "ConnectionResetError(104, 'Connection reset by peer')", "cause_chain": ["ClientOSError", "ConnectionResetError"], "message": "ClientOSError(104, 'Connection reset by peer')", "type": "ClientOSError"}
qwen_llama	shape_rag_medium	4	1	ServerDisconnectedError	6	{"cause_chain": ["ServerDisconnectedError"], "message": "ServerDisconnectedError('Server disconnected')", "type": "ServerDisconnectedError"}
qwen_llama	shape_rag_medium	4	1	TimeoutError	12	{"cause": "CancelledError()", "cause_chain": ["TimeoutError", "CancelledError"], "message": "TimeoutError()", "type": "TimeoutError"}
