arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	59.0000	16.0000	106.9185	106.9185	106.9185	106.9185	15.1798	15.1798	15.1798	15.1798	334.6153	334.6153	334.6153	334.6153	2.9587	47.3385	3439.0000	50.0500	11.3846	67.0000	190.6550	190.6550	11.9159
qwen_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	49.0000	16.0000	83.7437	83.7437	83.7437	83.7437	10.9811	10.9811	10.9811	10.9811	248.4598	248.4598	248.4598	248.4598	3.9695	63.5126	3881.0000	41.5300	6.4167	64.0000	166.3600	166.3600	10.3975
spark_llama	shape_short_chat	128	1	1	PASS	0.0000	60	60	0	100.0000	147.9833	128.0000	171.1256	170.4430	193.3320	211.2557	14.7754	14.9019	15.2638	15.3056	2047.5978	2065.1504	2118.7692	2131.1064	0.4731	60.5585	3441.0000	104.0200	73.1362	79.0000	9997.8550	166.6309	1.3018
qwen_llama	shape_short_chat	128	1	1	PASS	0.0000	60	60	0	100.0000	136.0000	128.0000	134.1866	132.8665	148.6141	154.8148	12.6625	12.8754	13.0535	13.1317	1742.3182	1767.8472	1798.0889	1811.3990	0.5545	70.9777	3883.0000	86.2800	81.9587	79.0000	8717.6000	145.2933	1.1351
spark_llama	shape_short_chat	128	4	1	PASS	0.0000	60	60	0	100.0000	147.9833	128.0000	504.1414	495.2818	586.0925	592.1087	26.4143	26.4200	27.1017	27.1086	3858.7536	3856.8872	3971.2035	3980.4223	1.0202	130.5798	3453.0000	102.6300	60.6993	78.0000	4844.1500	80.7358	0.6307
qwen_llama	shape_short_chat	128	4	1	PASS	0.0000	60	60	0	100.0000	136.0000	128.0000	390.7625	392.8527	428.7862	429.4630	21.5900	21.6697	22.1246	22.1269	3132.6883	3142.0759	3238.6144	3239.4868	1.2313	157.6003	3889.0000	87.3300	72.1557	77.0000	3986.7750	66.4463	0.5191
spark_llama	shape_balanced	256	1	1	TIMEOUT	5.0847	59	56	3	94.9153																	3443.0000	91.3400	32.2893	81.0000	24812.0350	443.0721	
qwen_llama	shape_balanced	256	1	1	PASS	0.0000	60	60	0	100.0000	264.0000	256.0000	220.0255	215.6729	251.9976	259.2509	13.2922	13.2802	13.3878	13.5305	3609.5435	3603.7295	3647.2924	3704.0027	0.2767	70.8360	3883.0000	95.5100	85.0414	80.0000	18002.5600	300.0427	1.1720
spark_llama	shape_balanced	256	4	1	UNSTABLE	6.6667	60	56	4	93.3333	279.4821	256.0000	932.7415	918.4373	1122.1914	1125.0956	27.8881	27.8242	28.5369	28.5608	8044.2111	7999.8607	8343.2685	8352.6626	0.1911	48.9233	3445.0000	99.5200	31.9423	80.0000	10972.6550	195.9403	0.7654
qwen_llama	shape_balanced	256	4	1	PASS	0.0000	60	60	0	100.0000	264.0000	256.0000	687.9242	664.9882	844.8431	845.7849	22.9235	22.9323	23.2181	23.2348	6533.4155	6506.7059	6739.7227	6744.9291	0.6118	156.6237	3889.0000	89.7300	78.7511	78.0000	8053.8850	134.2314	0.5243
spark_llama	shape_summarization	512	1	1	TIMEOUT	4.5455	44	42	2	95.4545																	3445.0000	90.0800	21.1364	78.0000	12047.6850	286.8496	
qwen_llama	shape_summarization	512	1	1	PASS	0.0000	60	60	0	100.0000	520.0000	128.0000	335.4526	336.6881	361.9670	382.0937	13.2933	13.2874	13.4166	13.4906	2023.7032	2026.0347	2063.2641	2067.5219	0.4933	63.1432	3887.0000	85.0200	81.0358	78.0000	9765.3600	162.7560	1.2715
spark_llama	shape_summarization	512	4	1	UNSTABLE	26.6667	60	44	16	73.3333	543.5909	128.0000	1528.8658	1510.0792	1734.5736	1745.0986	29.3653	28.4203	39.3465	39.4355	5258.2557	5087.4089	6739.2321	6743.3879	0.4824	61.7467	3445.0000	105.4300	51.2911	76.0000	4596.1650	104.4583	0.8161
qwen_llama	shape_summarization	512	4	1	PASS	0.0000	60	60	0	100.0000	520.0000	128.0000	1191.2300	1153.9853	1665.8330	1677.4805	23.0887	23.0953	23.6546	23.7226	4123.4904	4069.8866	4616.2038	4623.1072	0.9688	124.0051	3889.0000	83.1800	70.7935	76.0000	5007.3750	83.4562	0.6520
spark_llama	shape_rag_medium	1024	1	1	UNSTABLE	58.3333	60	25	35	41.6667	1068.4800	128.0000	706.8805	694.7779	814.4998	968.1049	15.8104	15.7076	16.3064	17.1357	2714.7983	2719.8524	2832.9727	3130.4304	0.0844	10.8009	3445.0000	90.7300	31.1281	77.0000	7549.5350	301.9814	2.3592
qwen_llama	shape_rag_medium	1024	1	1	UNSTABLE	40.0000	60	36	24	60.0000	1032.0000	128.0000	586.5307	569.2463	683.6232	747.4537	13.6222	13.6134	13.7570	13.7814	2316.5478	2290.9359	2419.2315	2487.5319	0.0457	5.8468	3887.0000	112.7900	44.4903	76.0000	7793.4400	216.4844	1.6913
spark_llama	shape_rag_medium	1024	4	1	UNSTABLE	55.0000	60	27	33	45.0000	1068.6296	128.0000	3646.5637	3481.5132	5683.7837	5702.7790	178.1121	29.7659	1366.2148	1367.2762	26266.8026	7280.3933	179205.4068	179316.3967	0.0505	6.4623	3445.0000	93.6400	20.8862	71.0000	6040.0800	223.7067	1.7477
qwen_llama	shape_rag_medium	1024	4	1	UNSTABLE	41.6667	60	35	25	58.3333	1032.0000	128.0000	1972.0791	2091.3906	2666.4244	2669.0834	26.4430	24.3711	34.9652	36.1703	5330.3411	5176.7175	5816.3420	5927.4615	0.0561	7.1827	3897.0000	81.3700	13.2283	73.0000	7934.5400	226.7011	1.7711
spark_llama	shape_generation	128	1	1	PASS	0.0000	60	60	0	100.0000	147.9833	512.0000	220.2471	212.2656	257.2188	289.8823	15.3283	15.3424	15.4519	15.5322	8052.9993	8056.6412	8158.6516	8182.8259	0.1241	63.5348	3441.0000	93.3500	77.9504	81.0000	39834.1500	663.9025	1.2967
qwen_llama	shape_generation	128	1	1	PASS	0.0000	60	60	0	100.0000	136.0000	512.0000	194.0009	189.6356	229.9979	257.9899	13.3855	13.3748	13.4484	13.4793	7033.9882	7030.1334	7093.0778	7129.7038	0.1421	72.7348	3883.0000	89.9700	87.5457	81.0000	35224.5550	587.0759	1.1466
spark_llama	shape_generation	128	4	1	PASS	0.0000	60	60	0	100.0000	147.9833	512.0000	697.0061	696.2517	841.5583	843.8823	27.7849	27.8024	28.2237	28.2269	14895.0842	14865.6627	15263.8471	15267.8995	0.2684	137.4312	3445.0000	114.1100	65.5149	81.0000	18780.3500	313.0058	0.6113
qwen_llama	shape_generation	128	4	1	PASS	0.0000	60	60	0	100.0000	136.0000	512.0000	580.8806	575.4140	753.9947	756.3858	22.7351	22.6786	22.9950	22.9984	12198.5160	12204.2613	12462.6668	12465.4464	0.3277	167.8025	3889.0000	89.0200	82.0694	81.0000	15653.4850	260.8914	0.5096
