arm	suite	isl	concurrency	repeat	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	3439.0000	50.0500	11.3846	67.0000	190.6550	190.6550	11.9159
qwen_llama	sanity	raw	1	0	3881.0000	41.5300	6.4167	64.0000	166.3600	166.3600	10.3975
spark_llama	shape_short_chat	128	1	1	3441.0000	104.0200	73.1362	79.0000	9997.8550	166.6309	1.3018
qwen_llama	shape_short_chat	128	1	1	3883.0000	86.2800	81.9587	79.0000	8717.6000	145.2933	1.1351
spark_llama	shape_short_chat	128	4	1	3453.0000	102.6300	60.6993	78.0000	4844.1500	80.7358	0.6307
qwen_llama	shape_short_chat	128	4	1	3889.0000	87.3300	72.1557	77.0000	3986.7750	66.4463	0.5191
spark_llama	shape_balanced	256	1	1	3443.0000	91.3400	32.2893	81.0000	24812.0350	443.0721	
qwen_llama	shape_balanced	256	1	1	3883.0000	95.5100	85.0414	80.0000	18002.5600	300.0427	1.1720
spark_llama	shape_balanced	256	4	1	3445.0000	99.5200	31.9423	80.0000	10972.6550	195.9403	0.7654
qwen_llama	shape_balanced	256	4	1	3889.0000	89.7300	78.7511	78.0000	8053.8850	134.2314	0.5243
spark_llama	shape_summarization	512	1	1	3445.0000	90.0800	21.1364	78.0000	12047.6850	286.8496	
qwen_llama	shape_summarization	512	1	1	3887.0000	85.0200	81.0358	78.0000	9765.3600	162.7560	1.2715
spark_llama	shape_summarization	512	4	1	3445.0000	105.4300	51.2911	76.0000	4596.1650	104.4583	0.8161
qwen_llama	shape_summarization	512	4	1	3889.0000	83.1800	70.7935	76.0000	5007.3750	83.4562	0.6520
spark_llama	shape_rag_medium	1024	1	1	3445.0000	90.7300	31.1281	77.0000	7549.5350	301.9814	2.3592
qwen_llama	shape_rag_medium	1024	1	1	3887.0000	112.7900	44.4903	76.0000	7793.4400	216.4844	1.6913
spark_llama	shape_rag_medium	1024	4	1	3445.0000	93.6400	20.8862	71.0000	6040.0800	223.7067	1.7477
qwen_llama	shape_rag_medium	1024	4	1	3897.0000	81.3700	13.2283	73.0000	7934.5400	226.7011	1.7711
spark_llama	shape_generation	128	1	1	3441.0000	93.3500	77.9504	81.0000	39834.1500	663.9025	1.2967
qwen_llama	shape_generation	128	1	1	3883.0000	89.9700	87.5457	81.0000	35224.5550	587.0759	1.1466
spark_llama	shape_generation	128	4	1	3445.0000	114.1100	65.5149	81.0000	18780.3500	313.0058	0.6113
qwen_llama	shape_generation	128	4	1	3889.0000	89.0200	82.0694	81.0000	15653.4850	260.8914	0.5096
