suite	arm	isl	concurrency	pass_runs	unstable_runs	failed_runs	parsed_runs	error_rate_pct_mean	error_rate_pct_ci95	ttft_p50_ms_mean	ttft_p50_ms_ci95	ttft_p95_ms_mean	ttft_p95_ms_ci95	itl_p50_ms_mean	itl_p50_ms_ci95	itl_p95_ms_mean	itl_p95_ms_ci95	latency_p50_ms_mean	latency_p50_ms_ci95	latency_p95_ms_mean	latency_p95_ms_ci95	request_tps_mean	request_tps_ci95	output_tps_mean	output_tps_ci95	peak_vram_mib_mean	peak_vram_mib_ci95	peak_power_w_mean	peak_power_w_ci95
capacity	qwen_llama	raw	1	1	0	0	1	0.0000	0.0000	96.3603	0.0000	96.3603	0.0000	13.1663	0.0000	13.1663	0.0000	1768.4758	0.0000	1768.4758	0.0000	0.5645	0.0000	72.2578	0.0000	3881.0000	0.0000	80.6500	0.0000
capacity	qwen_llama	raw	2	1	0	0	1	0.0000	0.0000	132.5331	0.0000	132.5331	0.0000	13.0998	0.0000	13.0998	0.0000	1796.2022	0.0000	1796.2022	0.0000	0.5557	0.0000	71.1348	0.0000	3883.0000	0.0000	80.4200	0.0000
capacity	qwen_llama	raw	3	1	0	0	1	0.0000	0.0000	84.5818	0.0000	84.5818	0.0000	13.0490	0.0000	13.0490	0.0000	1741.8029	0.0000	1741.8029	0.0000	0.5731	0.0000	73.3628	0.0000	3883.0000	0.0000	80.8000	0.0000
capacity	qwen_llama	raw	4	1	0	0	1	0.0000	0.0000	128.8074	0.0000	128.8074	0.0000	13.0538	0.0000	13.0538	0.0000	1786.6434	0.0000	1786.6434	0.0000	0.5587	0.0000	71.5121	0.0000	3883.0000	0.0000	84.0700	0.0000
capacity	qwen_llama	raw	6	1	0	0	1	0.0000	0.0000	116.2524	0.0000	116.2524	0.0000	13.1747	0.0000	13.1747	0.0000	1789.4410	0.0000	1789.4410	0.0000	0.5578	0.0000	71.3935	0.0000	3883.0000	0.0000	80.8800	0.0000
capacity	qwen_llama	raw	8	1	0	0	1	0.0000	0.0000	116.8006	0.0000	116.8006	0.0000	13.0432	0.0000	13.0432	0.0000	1773.2890	0.0000	1773.2890	0.0000	0.5628	0.0000	72.0409	0.0000	3883.0000	0.0000	82.0700	0.0000
capacity	spark_llama	raw	1	1	0	0	1	0.0000	0.0000	110.6412	0.0000	110.6412	0.0000	15.2246	0.0000	15.2246	0.0000	2044.1644	0.0000	2044.1644	0.0000	0.4882	0.0000	62.4923	0.0000	3439.0000	0.0000	86.5400	0.0000
capacity	spark_llama	raw	2	1	0	0	1	0.0000	0.0000	147.0165	0.0000	147.0165	0.0000	15.3079	0.0000	15.3079	0.0000	2091.1223	0.0000	2091.1223	0.0000	0.4775	0.0000	61.1219	0.0000	3441.0000	0.0000	80.4200	0.0000
capacity	spark_llama	raw	3	1	0	0	1	0.0000	0.0000	114.8658	0.0000	114.8658	0.0000	15.2834	0.0000	15.2834	0.0000	2055.8572	0.0000	2055.8572	0.0000	0.4856	0.0000	62.1613	0.0000	3441.0000	0.0000	81.8600	0.0000
capacity	spark_llama	raw	4	1	0	0	1	0.0000	0.0000	145.6395	0.0000	145.6395	0.0000	15.1177	0.0000	15.1177	0.0000	2065.5822	0.0000	2065.5822	0.0000	0.7423	0.0000	95.0087	0.0000	3441.0000	0.0000	96.4800	0.0000
capacity	spark_llama	raw	6	1	0	0	1	0.0000	0.0000	146.2595	0.0000	146.2595	0.0000	15.2527	0.0000	15.2527	0.0000	2083.3563	0.0000	2083.3563	0.0000	0.4792	0.0000	61.3398	0.0000	3441.0000	0.0000	82.2900	0.0000
capacity	spark_llama	raw	8	1	0	0	1	0.0000	0.0000	142.3608	0.0000	142.3608	0.0000	15.3196	0.0000	15.3196	0.0000	2087.9551	0.0000	2087.9551	0.0000	0.4782	0.0000	61.2044	0.0000	3441.0000	0.0000	97.7300	0.0000
soak	qwen_llama	raw	16	0	0	1	0																						
soak	spark_llama	raw	16	0	0	1	0																						
