arm	suite	isl	concurrency	repeat	status	error_rate_pct	attempted_requests	successful_requests	failed_requests	success_rate_pct	input_tokens_avg	output_tokens_avg	ttft_avg_ms	ttft_p50_ms	ttft_p95_ms	ttft_p99_ms	itl_avg_ms	itl_p50_ms	itl_p95_ms	itl_p99_ms	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	request_tps	output_tps	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	59.0000	16.0000	108.2325	108.2325	108.2325	108.2325	16.5422	16.5422	16.5422	16.5422	356.3659	356.3659	356.3659	356.3659	2.7822	44.5150	3439.0000	52.4000	10.0000	64.0000	194.7850	194.7850	12.1741
qwen_llama	sanity	raw	1	0	PASS	0.0000	1	1	0	100.0000	49.0000	16.0000	84.6355	84.6355	84.6355	84.6355	11.2780	11.2780	11.2780	11.2780	253.8051	253.8051	253.8051	253.8051	3.8904	62.2458	3881.0000	43.7000	12.1538	62.0000	178.6150	178.6150	11.1634
spark_llama	capacity	raw	1	1	PASS	0.0000	1	1	0	100.0000	55.0000	128.0000	110.6412	110.6412	110.6412	110.6412	15.2246	15.2246	15.2246	15.2246	2044.1644	2044.1644	2044.1644	2044.1644	0.4882	62.4923	3439.0000	86.5400	64.4545	71.0000	1807.3250	1807.3250	14.1197
qwen_llama	capacity	raw	1	1	PASS	0.0000	1	1	0	100.0000	41.0000	128.0000	96.3603	96.3603	96.3603	96.3603	13.1663	13.1663	13.1663	13.1663	1768.4758	1768.4758	1768.4758	1768.4758	0.5645	72.2578	3881.0000	80.6500	67.7917	70.0000	1490.7050	1490.7050	11.6461
spark_llama	capacity	raw	2	1	PASS	0.0000	1	1	0	100.0000	55.0000	128.0000	147.0165	147.0165	147.0165	147.0165	15.3079	15.3079	15.3079	15.3079	2091.1223	2091.1223	2091.1223	2091.1223	0.4775	61.1219	3441.0000	80.4200	53.1750	71.0000	1152.7900	1152.7900	9.0062
qwen_llama	capacity	raw	2	1	PASS	0.0000	1	1	0	100.0000	41.0000	128.0000	132.5331	132.5331	132.5331	132.5331	13.0998	13.0998	13.0998	13.0998	1796.2022	1796.2022	1796.2022	1796.2022	0.5557	71.1348	3883.0000	80.4200	60.1765	70.0000	1041.2600	1041.2600	8.1348
spark_llama	capacity	raw	3	1	PASS	0.0000	1	1	0	100.0000	55.0000	128.0000	114.8658	114.8658	114.8658	114.8658	15.2834	15.2834	15.2834	15.2834	2055.8572	2055.8572	2055.8572	2055.8572	0.4856	62.1613	3441.0000	81.8600	52.6216	70.0000	1082.3550	1082.3550	8.4559
qwen_llama	capacity	raw	3	1	PASS	0.0000	1	1	0	100.0000	41.0000	128.0000	84.5818	84.5818	84.5818	84.5818	13.0490	13.0490	13.0490	13.0490	1741.8029	1741.8029	1741.8029	1741.8029	0.5731	73.3628	3883.0000	80.8000	58.0000	69.0000	996.0350	996.0350	7.7815
spark_llama	capacity	raw	4	1	PASS	0.0000	1	1	0	100.0000	55.0000	128.0000	145.6395	145.6395	145.6395	145.6395	15.1177	15.1177	15.1177	15.1177	2065.5822	2065.5822	2065.5822	2065.5822	0.7423	95.0087	3441.0000	96.4800	49.4857	69.0000	1029.9100	1029.9100	8.0462
qwen_llama	capacity	raw	4	1	PASS	0.0000	1	1	0	100.0000	41.0000	128.0000	128.8074	128.8074	128.8074	128.8074	13.0538	13.0538	13.0538	13.0538	1786.6434	1786.6434	1786.6434	1786.6434	0.5587	71.5121	3883.0000	84.0700	55.2903	69.0000	890.7650	890.7650	6.9591
spark_llama	capacity	raw	6	1	PASS	0.0000	1	1	0	100.0000	55.0000	128.0000	146.2595	146.2595	146.2595	146.2595	15.2527	15.2527	15.2527	15.2527	2083.3563	2083.3563	2083.3563	2083.3563	0.4792	61.3398	3441.0000	82.2900	48.8235	69.0000	1009.1100	1009.1100	7.8837
qwen_llama	capacity	raw	6	1	PASS	0.0000	1	1	0	100.0000	41.0000	128.0000	116.2524	116.2524	116.2524	116.2524	13.1747	13.1747	13.1747	13.1747	1789.4410	1789.4410	1789.4410	1789.4410	0.5578	71.3935	3883.0000	80.8800	56.0667	68.0000	862.8250	862.8250	6.7408
spark_llama	capacity	raw	8	1	PASS	0.0000	1	1	0	100.0000	55.0000	128.0000	142.3608	142.3608	142.3608	142.3608	15.3196	15.3196	15.3196	15.3196	2087.9551	2087.9551	2087.9551	2087.9551	0.4782	61.2044	3441.0000	97.7300	51.5000	69.0000	1231.2200	1231.2200	9.6189
qwen_llama	capacity	raw	8	1	PASS	0.0000	1	1	0	100.0000	41.0000	128.0000	116.8006	116.8006	116.8006	116.8006	13.0432	13.0432	13.0432	13.0432	1773.2890	1773.2890	1773.2890	1773.2890	0.5628	72.0409	3883.0000	82.0700	55.4333	68.0000	858.8600	858.8600	6.7098
spark_llama	soak	raw	16	1	TIMEOUT	22.6667	75	58	17	77.3333																	3441.0000	84.1000	25.6452	73.0000	8576.4050	147.8691	
qwen_llama	soak	raw	16	1	TIMEOUT	11.5854	164	145	19	88.4146																	3883.0000	72.9000	27.4190	75.0000	17293.2700	119.2639	
