arm	suite	isl	concurrency	repeat	peak_vram_mib	peak_power_w	avg_gpu_util_pct	peak_temp_c	gpu_energy_j	gpu_j_per_request	gpu_j_per_output_token
spark_llama	sanity	raw	1	0	3439.0000	52.4000	10.0000	64.0000	194.7850	194.7850	12.1741
qwen_llama	sanity	raw	1	0	3881.0000	43.7000	12.1538	62.0000	178.6150	178.6150	11.1634
spark_llama	capacity	raw	1	1	3439.0000	86.5400	64.4545	71.0000	1807.3250	1807.3250	14.1197
qwen_llama	capacity	raw	1	1	3881.0000	80.6500	67.7917	70.0000	1490.7050	1490.7050	11.6461
spark_llama	capacity	raw	2	1	3441.0000	80.4200	53.1750	71.0000	1152.7900	1152.7900	9.0062
qwen_llama	capacity	raw	2	1	3883.0000	80.4200	60.1765	70.0000	1041.2600	1041.2600	8.1348
spark_llama	capacity	raw	3	1	3441.0000	81.8600	52.6216	70.0000	1082.3550	1082.3550	8.4559
qwen_llama	capacity	raw	3	1	3883.0000	80.8000	58.0000	69.0000	996.0350	996.0350	7.7815
spark_llama	capacity	raw	4	1	3441.0000	96.4800	49.4857	69.0000	1029.9100	1029.9100	8.0462
qwen_llama	capacity	raw	4	1	3883.0000	84.0700	55.2903	69.0000	890.7650	890.7650	6.9591
spark_llama	capacity	raw	6	1	3441.0000	82.2900	48.8235	69.0000	1009.1100	1009.1100	7.8837
qwen_llama	capacity	raw	6	1	3883.0000	80.8800	56.0667	68.0000	862.8250	862.8250	6.7408
spark_llama	capacity	raw	8	1	3441.0000	97.7300	51.5000	69.0000	1231.2200	1231.2200	9.6189
qwen_llama	capacity	raw	8	1	3883.0000	82.0700	55.4333	68.0000	858.8600	858.8600	6.7098
spark_llama	soak	raw	16	1	3441.0000	84.1000	25.6452	73.0000	8576.4050	147.8691	
qwen_llama	soak	raw	16	1	3883.0000	72.9000	27.4190	75.0000	17293.2700	119.2639	
